subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	mapping_date	author_id	subject_source	subject_source_version	object_source	object_source_version	confidence	comment	mapping_set_id	mapping_set_version	mapping_set_description	license
dyn:Version	Version	skos:relatedMatch	och:newVersion	new version	semapv:LexicalSimilarityThresholdMatching|semapv:SemanticSimilarityThresholdMatching	2025-12-04	GPT-5.1-Thinking	<http://www.list.lu/change-ontology/>	version 1.0.0 published at 2020-05-03	<https://w3id.org/def/och#>	3.0.0	0.75	Automatic alignment based on semapv:LexicalSimilarityThresholdMatching, semapv:SemanticSimilarityThresholdMatching (lexical similarity 0.78).	ex:DynDiffOnto-och-alignments	1.0.0	Alignments between DynDiffOnto and OCH generated automatically using lexical similarity heuristics.	CC-BY 4.0
dyn:Version	Version	skos:relatedMatch	owl:versionIRI	versionIRI	semapv:LexicalSimilarityThresholdMatching	2025-12-04	GPT-5.1-Thinking	<http://www.list.lu/change-ontology/>	version 1.0.0 published at 2020-05-03	<https://w3id.org/def/och#>	3.0.0	0.85	Automatic alignment based on semapv:LexicalSimilarityThresholdMatching (lexical similarity 0.82).	ex:DynDiffOnto-och-alignments	1.0.0	Alignments between DynDiffOnto and OCH generated automatically using lexical similarity heuristics.	CC-BY 4.0
dyn:Version	Version	skos:relatedMatch	owl:priorVersion	priorVersion	semapv:LexicalSimilarityThresholdMatching	2025-12-04	GPT-5.1-Thinking	<http://www.list.lu/change-ontology/>	version 1.0.0 published at 2020-05-03	<https://w3id.org/def/och#>	3.0.0	0.75	Automatic alignment based on semapv:LexicalSimilarityThresholdMatching (lexical similarity 0.74).	ex:DynDiffOnto-och-alignments	1.0.0	Alignments between DynDiffOnto and OCH generated automatically using lexical similarity heuristics.	CC-BY 4.0
dyn:changeLabel	changeLabel	skos:relatedMatch	och:Changelog	Changelog	semapv:LexicalSimilarityThresholdMatching	2025-12-04	GPT-5.1-Thinking	<http://www.list.lu/change-ontology/>	version 1.0.0 published at 2020-05-03	<https://w3id.org/def/och#>	3.0.0	0.75	Automatic alignment based on semapv:LexicalSimilarityThresholdMatching (lexical similarity 0.70).	ex:DynDiffOnto-och-alignments	1.0.0	Alignments between DynDiffOnto and OCH generated automatically using lexical similarity heuristics.	CC-BY 4.0
dyn:oldOntologyVersion	oldVersion	skos:relatedMatch	owl:versionIRI	versionIRI	semapv:LexicalSimilarityThresholdMatching	2025-12-04	GPT-5.1-Thinking	<http://www.list.lu/change-ontology/>	version 1.0.0 published at 2020-05-03	<https://w3id.org/def/och#>	3.0.0	0.75	Automatic alignment based on semapv:LexicalSimilarityThresholdMatching (lexical similarity 0.70).	ex:DynDiffOnto-och-alignments	1.0.0	Alignments between DynDiffOnto and OCH generated automatically using lexical similarity heuristics.	CC-BY 4.0
dyn:oldOntologyVersion	oldVersion	skos:relatedMatch	owl:priorVersion	priorVersion	semapv:LexicalSimilarityThresholdMatching	2025-12-04	GPT-5.1-Thinking	<http://www.list.lu/change-ontology/>	version 1.0.0 published at 2020-05-03	<https://w3id.org/def/och#>	3.0.0	0.75	Automatic alignment based on semapv:LexicalSimilarityThresholdMatching (lexical similarity 0.73).	ex:DynDiffOnto-och-alignments	1.0.0	Alignments between DynDiffOnto and OCH generated automatically using lexical similarity heuristics.	CC-BY 4.0
dyn:newOntologyVersion	newVersion	skos:relatedMatch	och:newVersion	new version	semapv:LexicalMatching|semapv:LexicalSimilarityThresholdMatching	2025-12-04	GPT-5.1-Thinking	<http://www.list.lu/change-ontology/>	version 1.0.0 published at 2020-05-03	<https://w3id.org/def/och#>	3.0.0	1.00	Automatic alignment based on semapv:LexicalMatching, semapv:LexicalSimilarityThresholdMatching (lexical similarity 0.95).	ex:DynDiffOnto-och-alignments	1.0.0	Alignments between DynDiffOnto and OCH generated automatically using lexical similarity heuristics.	CC-BY 4.0
dyn:newOntologyVersion	newVersion	skos:relatedMatch	owl:versionIRI	versionIRI	semapv:LexicalSimilarityThresholdMatching	2025-12-04	GPT-5.1-Thinking	<http://www.list.lu/change-ontology/>	version 1.0.0 published at 2020-05-03	<https://w3id.org/def/och#>	3.0.0	0.75	Automatic alignment based on semapv:LexicalSimilarityThresholdMatching (lexical similarity 0.70).	ex:DynDiffOnto-och-alignments	1.0.0	Alignments between DynDiffOnto and OCH generated automatically using lexical similarity heuristics.	CC-BY 4.0
dyn:hasProperty	hasProperty	skos:relatedMatch	och:AddProperty	Add Property	semapv:LexicalSimilarityThresholdMatching	2025-12-04	GPT-5.1-Thinking	<http://www.list.lu/change-ontology/>	version 1.0.0 published at 2020-05-03	<https://w3id.org/def/och#>	3.0.0	0.75	Automatic alignment based on semapv:LexicalSimilarityThresholdMatching (lexical similarity 0.78).	ex:DynDiffOnto-och-alignments	1.0.0	Alignments between DynDiffOnto and OCH generated automatically using lexical similarity heuristics.	CC-BY 4.0
dyn:hasProperty	hasProperty	skos:relatedMatch	rdf:Property	Property	semapv:LexicalSimilarityThresholdMatching	2025-12-04	GPT-5.1-Thinking	<http://www.list.lu/change-ontology/>	version 1.0.0 published at 2020-05-03	<https://w3id.org/def/och#>	3.0.0	0.85	Automatic alignment based on semapv:LexicalSimilarityThresholdMatching (lexical similarity 0.84).	ex:DynDiffOnto-och-alignments	1.0.0	Alignments between DynDiffOnto and OCH generated automatically using lexical similarity heuristics.	CC-BY 4.0
