subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	mapping_date	author_id	subject_source	subject_source_version	object_source	object_source_version	confidence	comment	mapping_set_id	mapping_set_version	mapping_set_description	license
dyn:AnyChangeAction	AnyChangeAction	owl:equivalentClass	och:OntologicalChange	Ontological Change	semapv:LexicalMatching	2025-12-03	ex:KnowledgeEngineer	<http://www.list.lu/change-ontology/>	1.0.0	<https://w3id.org/def/och#>	2.0.0	1.0	Both concepts serve as the root class for all ontology change actions.	ex:alignmentSet1	1.0	DynDiffOnto to OCH Alignment	CC-BY 4.0
dyn:ComplexChange	ComplexChange	owl:equivalentClass	och:ChangeSet	Change Set	semapv:LexicalSimilarityThresholdMatching	2025-12-03	ex:KnowledgeEngineer	<http://www.list.lu/change-ontology/>	1.0.0	<https://w3id.org/def/och#>	2.0.0	0.9	Both classes are defined to represent a composition or set of more atomic change actions.	ex:alignmentSet1	1.0	DynDiffOnto to OCH Alignment	CC-BY 4.0
dyn:addC	addC	owl:equivalentClass	och:AddClass	Add Class	semapv:LexicalMatching	2025-12-03	ex:KnowledgeEngineer	<http://www.list.lu/change-ontology/>	1.0.0	<https://w3id.org/def/och#>	2.0.0	1.0	Represents the action of adding a class.	ex:alignmentSet1	1.0	DynDiffOnto to OCH Alignment	CC-BY 4.0
dyn:delC	delC	owl:equivalentClass	och:RemoveClass	Remove Class	semapv:LexicalMatching	2025-12-03	ex:KnowledgeEngineer	<http://www.list.lu/change-ontology/>	1.0.0	<https://w3id.org/def/och#>	2.0.0	1.0	Represents the action of deleting/removing a class.	ex:alignmentSet1	1.0	DynDiffOnto to OCH Alignment	CC-BY 4.0
dyn:addI	addI	owl:equivalentClass	och:AddIndividual	Add Individual	semapv:LexicalMatching	2025-12-03	ex:KnowledgeEngineer	<http://www.list.lu/change-ontology/>	1.0.0	<https://w3id.org/def/och#>	2.0.0	1.0	Represents the addition of an instance/individual.	ex:alignmentSet1	1.0	DynDiffOnto to OCH Alignment	CC-BY 4.0
dyn:delI	delI	owl:equivalentClass	och:RemoveIndividual	Remove Individual	semapv:LexicalMatching	2025-12-03	ex:KnowledgeEngineer	<http://www.list.lu/change-ontology/>	1.0.0	<https://w3id.org/def/och#>	2.0.0	1.0	Represents the deletion/removal of an instance/individual.	ex:alignmentSet1	1.0	DynDiffOnto to OCH Alignment	CC-BY 4.0
dyn:addSupC	addSupC	owl:equivalentClass	och:AddSubClass	Add Sub Class	semapv:LexicalMatching	2025-12-03	ex:KnowledgeEngineer	<http://www.list.lu/change-ontology/>	1.0.0	<https://w3id.org/def/och#>	2.0.0	1.0	Represents the addition of a subClassOf relationship.	ex:alignmentSet1	1.0	DynDiffOnto to OCH Alignment	CC-BY 4.0
dyn:delSupC	delSupC	owl:equivalentClass	och:RemoveSubClass	Remove Sub Class	semapv:LexicalMatching	2025-12-03	ex:KnowledgeEngineer	<http://www.list.lu/change-ontology/>	1.0.0	<https://w3id.org/def/och#>	2.0.0	1.0	Represents the deletion/removal of a subClassOf relationship.	ex:alignmentSet1	1.0	DynDiffOnto to OCH Alignment	CC-BY 4.0
dyn:addSupP	addSupP	owl:equivalentClass	och:AddSubPropertyOf	Add Sub Property Of	semapv:LexicalMatching	2025-12-03	ex:KnowledgeEngineer	<http://www.list.lu/change-ontology/>	1.0.0	<https://w3id.org/def/och#>	2.0.0	1.0	Represents the addition of a subPropertyOf relationship.	ex:alignmentSet1	1.0	DynDiffOnto to OCH Alignment	CC-BY 4.0
dyn:delSupP	delSupP	owl:equivalentClass	och:RemoveSubPropertyOf	Remove Sub Property Of	semapv:LexicalMatching	2025-12-03	ex:KnowledgeEngineer	<http://www.list.lu/change-ontology/>	1.0.0	<https://w3id.org/def/och#>	2.0.0	1.0	Represents the deletion/removal of a subPropertyOf relationship.	ex:alignmentSet1	1.0	DynDiffOnto to OCH Alignment	CC-BY 4.0
dyn:toObs	toObs	owl:equivalentClass	och:DeprecateEntity	Deprecate Entity	semapv:LexicalSimilarityThresholdMatching	2025-12-03	ex:KnowledgeEngineer	<http://www.list.lu/change-ontology/>	1.0.0	<https://w3id.org/def/och#>	2.0.0	0.9	Both represent the high-level semantic action of deprecating/obsoleting a resource.	ex:alignmentSet1	1.0	DynDiffOnto to OCH Alignment	CC-BY 4.0
dyn:revObs	revObs	owl:equivalentClass	och:RevokeDeprecate	Revoke Deprecate	semapv:LexicalSimilarityThresholdMatching	2025-12-03	ex:KnowledgeEngineer	<http://www.list.lu/change-ontology/>	1.0.0	<https://w3id.org/def/och#>	2.0.0	1.0	Both represent the action of revoking the deprecated/obsolete status.	ex:alignmentSet1	1.0	DynDiffOnto to OCH Alignment	CC-BY 4.0
dyn:renC	renC	rdfs:subClassOf	och:RenameEntity	Rename Entity	semapv:StructuralMatching	2025-12-03	ex:KnowledgeEngineer	<http://www.list.lu/change-ontology/>	1.0.0	<https://w3id.org/def/och#>	2.0.0	0.9	`dyn:renC` is specific to classes, while `och:RenameEntity` applies to any OWL entity, making `dyn:renC` a sub-concept.	ex:alignmentSet1	1.0	DynDiffOnto to OCH Alignment	CC-BY 4.0
dyn:appliesTo	appliesTo	skos:closeMatch	och:prevVersion	previous version	semapv:SemanticSimilarityThresholdMatching	2025-12-03	ex:KnowledgeEngineer	<http://www.list.lu/change-ontology/>	1.0.0	<https://w3id.org/def/och#>	2.0.0	0.8	Both properties refer to the *source* or *prior* ontology version relevant to the change.	ex:alignmentSet1	1.0	DynDiffOnto to OCH Alignment	CC-BY 4.0
dyn:resultsIn	resultsIn	skos:closeMatch	och:newVersion	new version	semapv:SemanticSimilarityThresholdMatching	2025-12-03	ex:KnowledgeEngineer	<http://www.list.lu/change-ontology/>	1.0.0	<https://w3id.org/def/och#>	2.0.0	0.8	Both properties refer to the *target* or *new* ontology version resulting from the change.	ex:alignmentSet1	1.0	DynDiffOnto to OCH Alignment	CC-BY 4.0
