# curie_map:
#   DOID: http://purl.obolibrary.org/obo/DOID_
#   EFO: http://www.ebi.ac.uk/efo/EFO_
#   ENVO: http://purl.obolibrary.org/obo/ENVO_
#   ExO: http://purl.obolibrary.org/obo/ExO_
#   GARD: GARD
#   ICD10CM: http://apps.who.int/classifications/icd10/browse/2010/en#/
#   ICD9CM: ICD9CM
#   ICDO: ICDO
#   KEGG: http://www.kegg.jp/entry/
#   MEDDRA: MEDDRA
#   MESH: https://meshb.nlm.nih.gov/record/ui?ui=
#   NCI: http://purl.obolibrary.org/obo/NCIT_
#   OMIM: http://omim.org/entry/
#   OMIT: http://purl.obolibrary.org/obo/OMIT_
#   ORDO: ORDO
#   SNOMEDCT_US_2020_03_01: http://www.snomedbrowser.com/Codes/Details/
#   SNOMEDCT_US_2020_09_01: http://www.snomedbrowser.com/Codes/Details/
#   SNOMEDCT_US_2021_07_31: SNOMEDCT_US_2021_07_31
#   SNOMEDCT_US_2021_09_01: http://www.snomedbrowser.com/Codes/Details/
#   UMLS_CUI: http://linkedlifedata.com/resource/umls/id/
#   oboInOwl: http://www.geneontology.org/formats/oboInOwl#
#   skos: http://www.w3.org/2004/02/skos/core#
# license: https://github.com/mapping-commons/mapping-commons.github.io/blob/main/docs/original_license_applies.md
# mapping_date: '2022-02-23'
# mapping_set_id: http://w3id.org/mapping_commons/disease-mappings/onto-icd10
# mapping_tool: https://github.com/mapping-commons/sssom-py
subject_id	predicate_id	object_id	match_type	subject_label
DOID:8778	oboInOwl:hasDbXref	EFO:0000384	Unspecified	Crohn's disease
DOID:8869	oboInOwl:hasDbXref	EFO:0004256	Unspecified	neuromyelitis optica
DOID:8893	oboInOwl:hasDbXref	EFO:0000676	Unspecified	psoriasis
DOID:14221	oboInOwl:hasDbXref	EFO:0000195	Unspecified	abdominal obesity-metabolic syndrome 1
DOID:14227	oboInOwl:hasDbXref	EFO:0000279	Unspecified	azoospermia
DOID:14268	oboInOwl:hasDbXref	EFO:0004268	Unspecified	sclerosing cholangitis
DOID:8552	oboInOwl:hasDbXref	EFO:0000339	Unspecified	chronic myeloid leukemia
DOID:8577	oboInOwl:hasDbXref	EFO:0000729	Unspecified	ulcerative colitis
DOID:8567	oboInOwl:hasDbXref	EFO:0000183	Unspecified	Hodgkin's lymphoma
DOID:9835	oboInOwl:hasDbXref	EFO:0003908	Unspecified	refractive error
DOID:7147	oboInOwl:hasDbXref	EFO:0003898	Unspecified	ankylosing spondylitis
DOID:7148	oboInOwl:hasDbXref	EFO:0000685	Unspecified	rheumatoid arthritis
DOID:9952	oboInOwl:hasDbXref	EFO:0000220	Unspecified	acute lymphoblastic leukemia
DOID:9970	oboInOwl:hasDbXref	EFO:0001073	Unspecified	obesity
DOID:0080199	oboInOwl:hasDbXref	EFO:1001951	Unspecified	colorectal carcinoma
DOID:14004	oboInOwl:hasDbXref	EFO:0004282	Unspecified	thoracic aortic aneurysm
DOID:6536	oboInOwl:hasDbXref	EFO:0000200	Unspecified	plasma cell neoplasm
DOID:13241	oboInOwl:hasDbXref	EFO:0003780	Unspecified	Behcet's disease
