# curie_map:
#   DOID: http://purl.obolibrary.org/obo/DOID_
#   EFO: http://www.ebi.ac.uk/efo/EFO_
#   ENVO: http://purl.obolibrary.org/obo/ENVO_
#   ExO: http://purl.obolibrary.org/obo/ExO_
#   GARD: GARD
#   ICD10CM: http://apps.who.int/classifications/icd10/browse/2010/en#/
#   ICD9CM: ICD9CM
#   ICDO: ICDO
#   KEGG: http://www.kegg.jp/entry/
#   MEDDRA: MEDDRA
#   MESH: https://meshb.nlm.nih.gov/record/ui?ui=
#   NCI: http://purl.obolibrary.org/obo/NCIT_
#   OMIM: http://omim.org/entry/
#   OMIT: http://purl.obolibrary.org/obo/OMIT_
#   ORDO: ORDO
#   SNOMEDCT_US_2020_03_01: http://www.snomedbrowser.com/Codes/Details/
#   SNOMEDCT_US_2020_09_01: http://www.snomedbrowser.com/Codes/Details/
#   SNOMEDCT_US_2021_07_31: SNOMEDCT_US_2021_07_31
#   SNOMEDCT_US_2021_09_01: http://www.snomedbrowser.com/Codes/Details/
#   UMLS_CUI: http://linkedlifedata.com/resource/umls/id/
#   oboInOwl: http://www.geneontology.org/formats/oboInOwl#
#   skos: http://www.w3.org/2004/02/skos/core#
# license: https://github.com/mapping-commons/mapping-commons.github.io/blob/main/docs/original_license_applies.md
# mapping_date: '2022-02-23'
# mapping_set_id: http://w3id.org/mapping_commons/disease-mappings/onto-icd10
# mapping_tool: https://github.com/mapping-commons/sssom-py
subject_id	predicate_id	object_id	match_type	subject_label
DOID:8712	oboInOwl:hasDbXref	GARD:10420	Unspecified	neurofibromatosis
DOID:8736	oboInOwl:hasDbXref	GARD:7444	Unspecified	smallpox
DOID:7400	oboInOwl:hasDbXref	GARD:3904	Unspecified	Nijmegen breakage syndrome
DOID:6128	oboInOwl:hasDbXref	GARD:6514	Unspecified	gliomatosis cerebri
DOID:8781	oboInOwl:hasDbXref	GARD:4742	Unspecified	rubella
DOID:7426	oboInOwl:hasDbXref	GARD:8158	Unspecified	cutaneous anthrax
DOID:7427	oboInOwl:hasDbXref	GARD:8157	Unspecified	anthrax disease
DOID:8778	oboInOwl:hasDbXref	GARD:10232	Unspecified	Crohn's disease
DOID:7442	oboInOwl:hasDbXref	GARD:7034	Unspecified	monoclonal gammopathy of uncertain significance
DOID:8761	oboInOwl:hasDbXref	GARD:524	Unspecified	acute megakaryocytic leukemia
DOID:14110	oboInOwl:hasDbXref	GARD:9300	Unspecified	anus cancer
DOID:14118	oboInOwl:hasDbXref	GARD:12241	Unspecified	familial lipoprotein lipase deficiency
DOID:14116	oboInOwl:hasDbXref	GARD:6957	Unspecified	multiple symmetric lipomatosis
DOID:14176	oboInOwl:hasDbXref	GARD:10371	Unspecified	selective IgG deficiency disease
DOID:14175	oboInOwl:hasDbXref	GARD:7855	Unspecified	von Hippel-Lindau disease
DOID:6245	oboInOwl:hasDbXref	GARD:8477	Unspecified	renal oncocytoma
DOID:8869	oboInOwl:hasDbXref	GARD:6267	Unspecified	neuromyelitis optica
DOID:8864	oboInOwl:hasDbXref	GARD:525	Unspecified	acute monocytic leukemia
DOID:7566	oboInOwl:hasDbXref	GARD:7431	Unspecified	eccrine porocarcinoma
DOID:8893	oboInOwl:hasDbXref	GARD:10262	Unspecified	psoriasis
DOID:8886	oboInOwl:hasDbXref	GARD:6060	Unspecified	chorioretinitis
DOID:14223	oboInOwl:hasDbXref	GARD:7231	Unspecified	ochronosis
DOID:14221	oboInOwl:hasDbXref	GARD:9226	Unspecified	abdominal obesity-metabolic syndrome 1
DOID:14219	oboInOwl:hasDbXref	GARD:7552	Unspecified	renal tubular acidosis
DOID:14218	oboInOwl:hasDbXref	GARD:19	Unspecified	dihydropyrimidine dehydrogenase deficiency
DOID:14213	oboInOwl:hasDbXref	GARD:6734	Unspecified	hypophosphatasia
DOID:6179	oboInOwl:hasDbXref	GARD:10411	Unspecified	ovarian small cell carcinoma
DOID:6171	oboInOwl:hasDbXref	GARD:12335	Unspecified	uterine carcinosarcoma
DOID:6170	oboInOwl:hasDbXref	GARD:7296	Unspecified	ovarian carcinosarcoma
DOID:6196	oboInOwl:hasDbXref	GARD:5693	Unspecified	reactive arthritis
DOID:6193	oboInOwl:hasDbXref	GARD:10181	Unspecified	epithelioid sarcoma
DOID:14291	oboInOwl:hasDbXref	GARD:1100	Unspecified	Noonan syndrome with multiple lentigines
DOID:14289	oboInOwl:hasDbXref	GARD:6313	Unspecified	Ebstein anomaly
DOID:14261	oboInOwl:hasDbXref	GARD:6464	Unspecified	fragile X syndrome
DOID:14256	oboInOwl:hasDbXref	GARD:436	Unspecified	adult-onset Still's disease
DOID:14250	oboInOwl:hasDbXref	GARD:10247	Unspecified	Down syndrome
DOID:9809	oboInOwl:hasDbXref	GARD:7851	Unspecified	hypersensitivity vasculitis
DOID:9808	oboInOwl:hasDbXref	GARD:2551	Unspecified	Goodpasture syndrome
DOID:9821	oboInOwl:hasDbXref	GARD:6061	Unspecified	choroideremia
DOID:9810	oboInOwl:hasDbXref	GARD:7360	Unspecified	polyarteritis nodosa
DOID:9884	oboInOwl:hasDbXref	GARD:7922	Unspecified	muscular dystrophy
DOID:8553	oboInOwl:hasDbXref	GARD:7510	Unspecified	pyoderma gangrenosum
DOID:8552	oboInOwl:hasDbXref	GARD:6105	Unspecified	chronic myeloid leukemia
DOID:9883	oboInOwl:hasDbXref	GARD:5900	Unspecified	Becker muscular dystrophy
DOID:8545	oboInOwl:hasDbXref	GARD:6964	Unspecified	malignant hyperthermia
DOID:8544	oboInOwl:hasDbXref	GARD:7121	Unspecified	chronic fatigue syndrome
DOID:8541	oboInOwl:hasDbXref	GARD:7629	Unspecified	Sezary's disease
DOID:9870	oboInOwl:hasDbXref	GARD:2424	Unspecified	galactosemia
DOID:8567	oboInOwl:hasDbXref	GARD:2714	Unspecified	Hodgkin's lymphoma
DOID:9849	oboInOwl:hasDbXref	GARD:10340	Unspecified	Meniere's disease
DOID:9840	oboInOwl:hasDbXref	GARD:8235	Unspecified	esotropia
DOID:8506	oboInOwl:hasDbXref	GARD:5972	Unspecified	bullous pemphigoid
DOID:8505	oboInOwl:hasDbXref	GARD:1917	Unspecified	dermatitis herpetiformis
DOID:8533	oboInOwl:hasDbXref	GARD:9334	Unspecified	hypopharynx cancer
DOID:0080016	oboInOwl:hasDbXref	GARD:7673	Unspecified	spina bifida
DOID:7147	oboInOwl:hasDbXref	GARD:9518	Unspecified	ankylosing spondylitis
DOID:8478	oboInOwl:hasDbXref	GARD:5728	Unspecified	actinomycosis
DOID:8476	oboInOwl:hasDbXref	GARD:7889	Unspecified	Whipple disease
DOID:8472	oboInOwl:hasDbXref	GARD:7058	Unspecified	localized scleroderma
DOID:0080021	oboInOwl:hasDbXref	GARD:7029	Unspecified	Schmid metaphyseal chondrodysplasia
DOID:0080039	oboInOwl:hasDbXref	GARD:8431	Unspecified	axial osteomalacia
DOID:0080038	oboInOwl:hasDbXref	GARD:4611	Unspecified	pycnodysostosis
DOID:0080037	oboInOwl:hasDbXref	GARD:390	Unspecified	Worth syndrome
DOID:8461	oboInOwl:hasDbXref	GARD:5764	Unspecified	Aicardi syndrome
DOID:0080032	oboInOwl:hasDbXref	GARD:1567	Unspecified	craniodiaphyseal dysplasia
DOID:0080031	oboInOwl:hasDbXref	GARD:6444	Unspecified	fibrous dysplasia
DOID:0080049	oboInOwl:hasDbXref	GARD:6	Unspecified	acromesomelic dysplasia
DOID:0080047	oboInOwl:hasDbXref	GARD:4540	Unspecified	pseudoachondroplasia
DOID:0080046	oboInOwl:hasDbXref	GARD:10782	Unspecified	Stickler syndrome
DOID:0080045	oboInOwl:hasDbXref	GARD:6841	Unspecified	Kniest dysplasia
DOID:0080043	oboInOwl:hasDbXref	GARD:2882	Unspecified	achondrogenesis
DOID:0080041	oboInOwl:hasDbXref	GARD:6724	Unspecified	hypochondroplasia
DOID:0080059	oboInOwl:hasDbXref	GARD:12232	Unspecified	autosomal recessive spinocerebellar ataxia 7
DOID:0080056	oboInOwl:hasDbXref	GARD:8713	Unspecified	achondrogenesis type II
DOID:0080055	oboInOwl:hasDbXref	GARD:460	Unspecified	achondrogenesis type IB
DOID:0080054	oboInOwl:hasDbXref	GARD:459	Unspecified	achondrogenesis type IA
DOID:0080053	oboInOwl:hasDbXref	GARD:5770	Unspecified	Albright's hereditary osteodystrophy
DOID:0080074	oboInOwl:hasDbXref	GARD:4016	Unspecified	neural tube defect
DOID:0080072	oboInOwl:hasDbXref	GARD:12744	Unspecified	intestinal pseudo-obstruction
DOID:0080072	oboInOwl:hasDbXref	GARD:6789	Unspecified	intestinal pseudo-obstruction
DOID:0080070	oboInOwl:hasDbXref	GARD:6749	Unspecified	mucolipidosis II alpha/beta
DOID:0080089	oboInOwl:hasDbXref	GARD:3884	Unspecified	tubular aggregate myopathy 1
DOID:0080082	oboInOwl:hasDbXref	GARD:12930	Unspecified	nonsyndromic congenital nail disorder 4
DOID:0080091	oboInOwl:hasDbXref	GARD:8711	Unspecified	spheroid body myopathy
DOID:0080090	oboInOwl:hasDbXref	GARD:12162	Unspecified	reducing body myopathy 1A
DOID:8618	oboInOwl:hasDbXref	GARD:9360	Unspecified	oral cavity cancer
DOID:8616	oboInOwl:hasDbXref	GARD:7379	Unspecified	Peyronie's disease
DOID:9931	oboInOwl:hasDbXref	GARD:9449	Unspecified	Waterhouse-Friderichsen syndrome
DOID:9997	oboInOwl:hasDbXref	GARD:220	Unspecified	peripartum cardiomyopathy
DOID:7365	oboInOwl:hasDbXref	GARD:6835	Unspecified	Kimura disease
DOID:8692	oboInOwl:hasDbXref	GARD:8226	Unspecified	myeloid leukemia
DOID:8683	oboInOwl:hasDbXref	GARD:12763	Unspecified	myeloid sarcoma
DOID:8691	oboInOwl:hasDbXref	GARD:3863	Unspecified	mycosis fungoides
DOID:7305	oboInOwl:hasDbXref	GARD:10635	Unspecified	astroblastoma
DOID:8632	oboInOwl:hasDbXref	GARD:6814	Unspecified	Kaposi's sarcoma
DOID:9955	oboInOwl:hasDbXref	GARD:6739	Unspecified	hypoplastic left heart syndrome
DOID:8622	oboInOwl:hasDbXref	GARD:3434	Unspecified	measles
DOID:9952	oboInOwl:hasDbXref	GARD:522	Unspecified	acute lymphoblastic leukemia
DOID:9986	oboInOwl:hasDbXref	GARD:9719	Unspecified	orbit lymphoma
DOID:0080202	oboInOwl:hasDbXref	GARD:5743	Unspecified	adenoid cystic carcinoma
DOID:0080201	oboInOwl:hasDbXref	GARD:8422	Unspecified	Peters plus syndrome
DOID:8649	oboInOwl:hasDbXref	GARD:7779	Unspecified	tongue cancer
DOID:0080218	oboInOwl:hasDbXref	GARD:4997	Unspecified	primary spontaneous pneumothorax
DOID:0080216	oboInOwl:hasDbXref	GARD:54	Unspecified	duodenal atresia
DOID:0080213	oboInOwl:hasDbXref	GARD:4439	Unspecified	punctate palmoplantar keratoderma type II
DOID:0080109	oboInOwl:hasDbXref	GARD:2998	Unspecified	infantile myofibromatosis
