# curie_map:
#   DOID: http://purl.obolibrary.org/obo/DOID_
#   EFO: http://www.ebi.ac.uk/efo/EFO_
#   ENVO: http://purl.obolibrary.org/obo/ENVO_
#   ExO: http://purl.obolibrary.org/obo/ExO_
#   GARD: GARD
#   ICD10CM: http://apps.who.int/classifications/icd10/browse/2010/en#/
#   ICD9CM: ICD9CM
#   ICDO: ICDO
#   KEGG: http://www.kegg.jp/entry/
#   MEDDRA: MEDDRA
#   MESH: https://meshb.nlm.nih.gov/record/ui?ui=
#   NCI: http://purl.obolibrary.org/obo/NCIT_
#   OMIM: http://omim.org/entry/
#   OMIT: http://purl.obolibrary.org/obo/OMIT_
#   ORDO: ORDO
#   SNOMEDCT_US_2020_03_01: http://www.snomedbrowser.com/Codes/Details/
#   SNOMEDCT_US_2020_09_01: http://www.snomedbrowser.com/Codes/Details/
#   SNOMEDCT_US_2021_07_31: SNOMEDCT_US_2021_07_31
#   SNOMEDCT_US_2021_09_01: http://www.snomedbrowser.com/Codes/Details/
#   UMLS_CUI: http://linkedlifedata.com/resource/umls/id/
#   oboInOwl: http://www.geneontology.org/formats/oboInOwl#
#   skos: http://www.w3.org/2004/02/skos/core#
# license: https://github.com/mapping-commons/mapping-commons.github.io/blob/main/docs/original_license_applies.md
# mapping_date: '2022-02-23'
# mapping_set_id: http://w3id.org/mapping_commons/disease-mappings/onto-icd10
# mapping_tool: https://github.com/mapping-commons/sssom-py
subject_id	predicate_id	object_id	match_type	subject_label
DOID:8717	oboInOwl:hasDbXref	ICD9CM:707.0	Unspecified	decubitus ulcer
DOID:8712	oboInOwl:hasDbXref	ICD9CM:237.7	Unspecified	neurofibromatosis
DOID:8719	oboInOwl:hasDbXref	ICD9CM:230-234.99	Unspecified	in situ carcinoma
DOID:8704	oboInOwl:hasDbXref	ICD9CM:054.1	Unspecified	genital herpes
DOID:8702	oboInOwl:hasDbXref	ICD9CM:145.0	Unspecified	cheek mucosa cancer
DOID:8738	oboInOwl:hasDbXref	ICD9CM:607.0	Unspecified	leukoplakia of penis
DOID:8736	oboInOwl:hasDbXref	ICD9CM:050	Unspecified	smallpox
DOID:8731	oboInOwl:hasDbXref	ICD9CM:194.5	Unspecified	carotid body cancer
DOID:8729	oboInOwl:hasDbXref	ICD9CM:051.9	Unspecified	milker's nodule
DOID:8725	oboInOwl:hasDbXref	ICD9CM:290.4	Unspecified	vascular dementia
DOID:6132	oboInOwl:hasDbXref	ICD9CM:490	Unspecified	bronchitis
DOID:6132	oboInOwl:hasDbXref	ICD9CM:466.0	Unspecified	bronchitis
DOID:6132	oboInOwl:hasDbXref	ICD9CM:491	Unspecified	bronchitis
DOID:8792	oboInOwl:hasDbXref	ICD9CM:234.0	Unspecified	eye carcinoma in situ
DOID:8791	oboInOwl:hasDbXref	ICD9CM:233.0	Unspecified	breast carcinoma in situ
DOID:8787	oboInOwl:hasDbXref	ICD9CM:363.1	Unspecified	disseminated chorioretinitis
DOID:8781	oboInOwl:hasDbXref	ICD9CM:056	Unspecified	rubella
DOID:7426	oboInOwl:hasDbXref	ICD9CM:022.0	Unspecified	cutaneous anthrax
DOID:8757	oboInOwl:hasDbXref	ICD9CM:535.2	Unspecified	gastric mucosal hypertrophy
DOID:7427	oboInOwl:hasDbXref	ICD9CM:022	Unspecified	anthrax disease
DOID:8743	oboInOwl:hasDbXref	ICD9CM:057.0	Unspecified	erythema infectiosum
DOID:8741	oboInOwl:hasDbXref	ICD9CM:690.1	Unspecified	seborrheic dermatitis
DOID:8778	oboInOwl:hasDbXref	ICD9CM:555.1	Unspecified	Crohn's disease
DOID:8771	oboInOwl:hasDbXref	ICD9CM:051.2	Unspecified	contagious pustular dermatitis
DOID:8761	oboInOwl:hasDbXref	ICD9CM:207.2	Unspecified	acute megakaryocytic leukemia
DOID:14107	oboInOwl:hasDbXref	ICD9CM:727.04	Unspecified	De Quervain disease
DOID:6088	oboInOwl:hasDbXref	ICD9CM:308.3	Unspecified	acute stress disorder
