# curie_map:
#   DOID: http://purl.obolibrary.org/obo/DOID_
#   EFO: http://www.ebi.ac.uk/efo/EFO_
#   ENVO: http://purl.obolibrary.org/obo/ENVO_
#   ExO: http://purl.obolibrary.org/obo/ExO_
#   GARD: GARD
#   ICD10CM: http://apps.who.int/classifications/icd10/browse/2010/en#/
#   ICD9CM: ICD9CM
#   ICDO: ICDO
#   KEGG: http://www.kegg.jp/entry/
#   MEDDRA: MEDDRA
#   MESH: https://meshb.nlm.nih.gov/record/ui?ui=
#   NCI: http://purl.obolibrary.org/obo/NCIT_
#   OMIM: http://omim.org/entry/
#   OMIT: http://purl.obolibrary.org/obo/OMIT_
#   ORDO: ORDO
#   SNOMEDCT_US_2020_03_01: http://www.snomedbrowser.com/Codes/Details/
#   SNOMEDCT_US_2020_09_01: http://www.snomedbrowser.com/Codes/Details/
#   SNOMEDCT_US_2021_07_31: SNOMEDCT_US_2021_07_31
#   SNOMEDCT_US_2021_09_01: http://www.snomedbrowser.com/Codes/Details/
#   UMLS_CUI: http://linkedlifedata.com/resource/umls/id/
#   oboInOwl: http://www.geneontology.org/formats/oboInOwl#
#   skos: http://www.w3.org/2004/02/skos/core#
# license: https://github.com/mapping-commons/mapping-commons.github.io/blob/main/docs/original_license_applies.md
# mapping_date: '2022-02-23'
# mapping_set_id: http://w3id.org/mapping_commons/disease-mappings/onto-icd10
# mapping_tool: https://github.com/mapping-commons/sssom-py
subject_id	predicate_id	object_id	match_type	subject_label
DOID:6128	oboInOwl:hasDbXref	ICDO:9381/3	Unspecified	gliomatosis cerebri
DOID:7480	oboInOwl:hasDbXref	ICDO:8014/3	Unspecified	large cell carcinoma with rhabdoid phenotype
DOID:8761	oboInOwl:hasDbXref	ICDO:9910/3	Unspecified	acute megakaryocytic leukemia
DOID:14174	oboInOwl:hasDbXref	ICDO:9506/1	Unspecified	central neurocytoma
DOID:7571	oboInOwl:hasDbXref	ICDO:8959/3	Unspecified	malignant cystic nephroma
DOID:6262	oboInOwl:hasDbXref	ICDO:9758/3	Unspecified	follicular dendritic cell sarcoma
DOID:8866	oboInOwl:hasDbXref	ICDO:8070/0	Unspecified	actinic keratosis
DOID:6204	oboInOwl:hasDbXref	ICDO:8330/0	Unspecified	follicular adenoma
DOID:8864	oboInOwl:hasDbXref	ICDO:9891/3	Unspecified	acute monocytic leukemia
DOID:7532	oboInOwl:hasDbXref	ICDO:8060/0	Unspecified	squamous papillomatosis
DOID:6193	oboInOwl:hasDbXref	ICDO:8804/3	Unspecified	epithelioid sarcoma
DOID:8552	oboInOwl:hasDbXref	ICDO:9863/3	Unspecified	chronic myeloid leukemia
DOID:7213	oboInOwl:hasDbXref	ICDO:9537/0	Unspecified	transitional meningioma
DOID:7211	oboInOwl:hasDbXref	ICDO:9532/0	Unspecified	fibrous meningioma
DOID:7212	oboInOwl:hasDbXref	ICDO:9531/0	Unspecified	meningothelial meningioma
DOID:7210	oboInOwl:hasDbXref	ICDO:9533/0	Unspecified	psammomatous meningioma
DOID:7146	oboInOwl:hasDbXref	ICDO:9756/3	Unspecified	Langerhans cell sarcoma
DOID:0080031	oboInOwl:hasDbXref	ICDO:8818/0	Unspecified	fibrous dysplasia
DOID:7173	oboInOwl:hasDbXref	ICDO:8124/3	Unspecified	cloacogenic carcinoma
DOID:8692	oboInOwl:hasDbXref	ICDO:9860/3	Unspecified	myeloid leukemia
DOID:8683	oboInOwl:hasDbXref	ICDO:9930/3	Unspecified	myeloid sarcoma
DOID:8691	oboInOwl:hasDbXref	ICDO:9700/3	Unspecified	mycosis fungoides
DOID:7305	oboInOwl:hasDbXref	ICDO:9430/3	Unspecified	astroblastoma
DOID:9953	oboInOwl:hasDbXref	ICDO:9805/3	Unspecified	acute biphenotypic leukemia
DOID:0080202	oboInOwl:hasDbXref	ICDO:8200/3	Unspecified	adenoid cystic carcinoma
DOID:8584	oboInOwl:hasDbXref	ICDO:9687/3	Unspecified	Burkitt lymphoma
DOID:0080188	oboInOwl:hasDbXref	ICDO:9945/3	Unspecified	chronic myelomonocytic leukemia
DOID:0080187	oboInOwl:hasDbXref	ICDO:9963/3	Unspecified	chronic neutrophilic leukemia
DOID:7880	oboInOwl:hasDbXref	ICDO:8610/0	Unspecified	luteoma
