# curie_map:
#   DOID: http://purl.obolibrary.org/obo/DOID_
#   EFO: http://www.ebi.ac.uk/efo/EFO_
#   ENVO: http://purl.obolibrary.org/obo/ENVO_
#   ExO: http://purl.obolibrary.org/obo/ExO_
#   GARD: GARD
#   ICD10CM: http://apps.who.int/classifications/icd10/browse/2010/en#/
#   ICD9CM: ICD9CM
#   ICDO: ICDO
#   KEGG: http://www.kegg.jp/entry/
#   MEDDRA: MEDDRA
#   MESH: https://meshb.nlm.nih.gov/record/ui?ui=
#   NCI: http://purl.obolibrary.org/obo/NCIT_
#   OMIM: http://omim.org/entry/
#   OMIT: http://purl.obolibrary.org/obo/OMIT_
#   ORDO: ORDO
#   SNOMEDCT_US_2020_03_01: http://www.snomedbrowser.com/Codes/Details/
#   SNOMEDCT_US_2020_09_01: http://www.snomedbrowser.com/Codes/Details/
#   SNOMEDCT_US_2021_07_31: SNOMEDCT_US_2021_07_31
#   SNOMEDCT_US_2021_09_01: http://www.snomedbrowser.com/Codes/Details/
#   UMLS_CUI: http://linkedlifedata.com/resource/umls/id/
#   oboInOwl: http://www.geneontology.org/formats/oboInOwl#
#   skos: http://www.w3.org/2004/02/skos/core#
# license: https://github.com/mapping-commons/mapping-commons.github.io/blob/main/docs/original_license_applies.md
# mapping_date: '2022-02-23'
# mapping_set_id: http://w3id.org/mapping_commons/disease-mappings/onto-icd10
# mapping_tool: https://github.com/mapping-commons/sssom-py
subject_id	predicate_id	object_id	match_type	subject_label
DOID:8717	oboInOwl:hasDbXref	MESH:D003668	Unspecified	decubitus ulcer
DOID:8712	oboInOwl:hasDbXref	MESH:D017253	Unspecified	neurofibromatosis
DOID:8719	oboInOwl:hasDbXref	MESH:D002278	Unspecified	in situ carcinoma
DOID:8704	oboInOwl:hasDbXref	MESH:D006558	Unspecified	genital herpes
DOID:8738	oboInOwl:hasDbXref	MESH:D052798	Unspecified	leukoplakia of penis
DOID:8736	oboInOwl:hasDbXref	MESH:D012899	Unspecified	smallpox
DOID:7400	oboInOwl:hasDbXref	MESH:D049932	Unspecified	Nijmegen breakage syndrome
DOID:8729	oboInOwl:hasDbXref	MESH:D011213	Unspecified	milker's nodule
DOID:8725	oboInOwl:hasDbXref	MESH:D015140	Unspecified	vascular dementia
DOID:8725	oboInOwl:hasDbXref	MESH:D015161	Unspecified	vascular dementia
DOID:6132	oboInOwl:hasDbXref	MESH:D029481	Unspecified	bronchitis
DOID:6132	oboInOwl:hasDbXref	MESH:D001991	Unspecified	bronchitis
DOID:8791	oboInOwl:hasDbXref	MESH:D000071960	Unspecified	breast carcinoma in situ
DOID:8791	skos:exactMatch	MESH:D000071960	Unspecified	breast carcinoma in situ
DOID:6128	oboInOwl:hasDbXref	MESH:D018302	Unspecified	gliomatosis cerebri
DOID:6126	oboInOwl:hasDbXref	MESH:C563020	Unspecified	anal canal carcinoma
DOID:7457	oboInOwl:hasDbXref	MESH:D010123	Unspecified	enterobiasis
DOID:8781	oboInOwl:hasDbXref	MESH:D012409	Unspecified	rubella
DOID:7489	oboInOwl:hasDbXref	MESH:D055034	Unspecified	Osgood-Schlatter's disease
DOID:7475	oboInOwl:hasDbXref	MESH:D004238	Unspecified	diverticulitis
DOID:7474	oboInOwl:hasDbXref	MESH:D000086002	Unspecified	malignant pleural mesothelioma
DOID:7426	oboInOwl:hasDbXref	MESH:C531621	Unspecified	cutaneous anthrax
DOID:8757	oboInOwl:hasDbXref	MESH:D005758	Unspecified	gastric mucosal hypertrophy
DOID:7427	oboInOwl:hasDbXref	MESH:D000881	Unspecified	anthrax disease
DOID:8743	oboInOwl:hasDbXref	MESH:D016731	Unspecified	erythema infectiosum
DOID:8741	oboInOwl:hasDbXref	MESH:D012628	Unspecified	seborrheic dermatitis
DOID:8778	oboInOwl:hasDbXref	MESH:D003424	Unspecified	Crohn's disease
DOID:6114	oboInOwl:hasDbXref	MESH:D008579	Unspecified	cerebral convexity meningioma
DOID:8771	oboInOwl:hasDbXref	MESH:D004474	Unspecified	contagious pustular dermatitis
DOID:8761	oboInOwl:hasDbXref	MESH:D007947	Unspecified	acute megakaryocytic leukemia
DOID:14107	oboInOwl:hasDbXref	MESH:D053684	Unspecified	De Quervain disease
DOID:14118	oboInOwl:hasDbXref	MESH:D008072	Unspecified	familial lipoprotein lipase deficiency
DOID:14116	oboInOwl:hasDbXref	MESH:D008069	Unspecified	multiple symmetric lipomatosis
DOID:14115	oboInOwl:hasDbXref	MESH:D012772	Unspecified	toxic shock syndrome
DOID:6050	oboInOwl:hasDbXref	MESH:D004935	Unspecified	esophageal disease
DOID:7398	oboInOwl:hasDbXref	MESH:D018242	Unspecified	cerebral primitive neuroectodermal tumor
DOID:14188	oboInOwl:hasDbXref	MESH:D002062	Unspecified	frozen shoulder
DOID:14183	oboInOwl:hasDbXref	MESH:D020269	Unspecified	alcoholic neuropathy
DOID:14183	skos:exactMatch	MESH:D020269	Unspecified	alcoholic neuropathy
DOID:14179	oboInOwl:hasDbXref	MESH:C537409	Unspecified	X-linked agammaglobulinemia
DOID:14176	oboInOwl:hasDbXref	MESH:D017099	Unspecified	selective IgG deficiency disease
DOID:14174	oboInOwl:hasDbXref	MESH:D018306	Unspecified	central neurocytoma
DOID:14175	oboInOwl:hasDbXref	MESH:D006623	Unspecified	von Hippel-Lindau disease
DOID:14146	oboInOwl:hasDbXref	MESH:D053039	Unspecified	ureterolithiasis
DOID:14159	oboInOwl:hasDbXref	MESH:D006849	Unspecified	obstructive hydrocephalus
DOID:14121	oboInOwl:hasDbXref	MESH:D018438	Unspecified	blue toe syndrome
DOID:8858	oboInOwl:hasDbXref	MESH:D014067	Unspecified	tonsil cancer
DOID:7514	oboInOwl:hasDbXref	MESH:C536741	Unspecified	Wolffian adnexal neoplasm
DOID:8805	oboInOwl:hasDbXref	MESH:D000789	Unspecified	intermediate coronary syndrome
DOID:6255	oboInOwl:hasDbXref	MESH:D049912	Unspecified	growth hormone secreting pituitary adenoma
DOID:6245	oboInOwl:hasDbXref	MESH:C537750	Unspecified	renal oncocytoma
DOID:6263	oboInOwl:hasDbXref	MESH:D058922	Unspecified	inflammatory breast carcinoma
DOID:6262	oboInOwl:hasDbXref	MESH:D054740	Unspecified	follicular dendritic cell sarcoma
DOID:8869	oboInOwl:hasDbXref	MESH:D009471	Unspecified	neuromyelitis optica
DOID:8867	oboInOwl:hasDbXref	MESH:D008976	Unspecified	molluscum contagiosum
DOID:8866	oboInOwl:hasDbXref	MESH:D055623	Unspecified	actinic keratosis
DOID:6204	oboInOwl:hasDbXref	MESH:D000236	Unspecified	follicular adenoma
DOID:8864	oboInOwl:hasDbXref	MESH:D007948	Unspecified	acute monocytic leukemia
DOID:8861	oboInOwl:hasDbXref	MESH:D011662	Unspecified	pulmonary subvalvular stenosis
DOID:7566	oboInOwl:hasDbXref	MESH:D057090	Unspecified	eccrine porocarcinoma
DOID:8893	oboInOwl:hasDbXref	MESH:D011565	Unspecified	psoriasis
DOID:8892	oboInOwl:hasDbXref	MESH:D017515	Unspecified	pityriasis rosea
DOID:7558	oboInOwl:hasDbXref	MESH:D020435	Unspecified	glossopharyngeal motor neuropathy
DOID:8886	oboInOwl:hasDbXref	MESH:D002825	Unspecified	chorioretinitis
