# curie_map:
#   DOID: http://purl.obolibrary.org/obo/DOID_
#   EFO: http://www.ebi.ac.uk/efo/EFO_
#   ENVO: http://purl.obolibrary.org/obo/ENVO_
#   ExO: http://purl.obolibrary.org/obo/ExO_
#   GARD: GARD
#   ICD10CM: http://apps.who.int/classifications/icd10/browse/2010/en#/
#   ICD9CM: ICD9CM
#   ICDO: ICDO
#   KEGG: http://www.kegg.jp/entry/
#   MEDDRA: MEDDRA
#   MESH: https://meshb.nlm.nih.gov/record/ui?ui=
#   NCI: http://purl.obolibrary.org/obo/NCIT_
#   OMIM: http://omim.org/entry/
#   OMIT: http://purl.obolibrary.org/obo/OMIT_
#   ORDO: ORDO
#   SNOMEDCT_US_2020_03_01: http://www.snomedbrowser.com/Codes/Details/
#   SNOMEDCT_US_2020_09_01: http://www.snomedbrowser.com/Codes/Details/
#   SNOMEDCT_US_2021_07_31: SNOMEDCT_US_2021_07_31
#   SNOMEDCT_US_2021_09_01: http://www.snomedbrowser.com/Codes/Details/
#   UMLS_CUI: http://linkedlifedata.com/resource/umls/id/
#   oboInOwl: http://www.geneontology.org/formats/oboInOwl#
#   skos: http://www.w3.org/2004/02/skos/core#
# license: https://github.com/mapping-commons/mapping-commons.github.io/blob/main/docs/original_license_applies.md
# mapping_date: '2022-02-23'
# mapping_set_id: http://w3id.org/mapping_commons/disease-mappings/onto-icd10
# mapping_tool: https://github.com/mapping-commons/sssom-py
subject_id	predicate_id	object_id	match_type	subject_label
DOID:8717	oboInOwl:hasDbXref	NCI:C50706	Unspecified	decubitus ulcer
DOID:8712	oboInOwl:hasDbXref	NCI:C6727	Unspecified	neurofibromatosis
DOID:8719	oboInOwl:hasDbXref	NCI:C2917	Unspecified	in situ carcinoma
DOID:8704	oboInOwl:hasDbXref	NCI:C14364	Unspecified	genital herpes
DOID:8702	oboInOwl:hasDbXref	NCI:C9320	Unspecified	cheek mucosa cancer
DOID:7408	oboInOwl:hasDbXref	NCI:C40288	Unspecified	vulvar keratoacanthoma-like carcinoma
DOID:7409	oboInOwl:hasDbXref	NCI:C40285	Unspecified	vulvar non-keratinizing squamous cell carcinoma
DOID:8738	oboInOwl:hasDbXref	NCI:C3151	Unspecified	leukoplakia of penis
DOID:8736	oboInOwl:hasDbXref	NCI:C35027	Unspecified	smallpox
DOID:7402	oboInOwl:hasDbXref	NCI:C27448	Unspecified	L-cell glucagon-like peptide producing tumor
DOID:7400	oboInOwl:hasDbXref	NCI:C4692	Unspecified	Nijmegen breakage syndrome
DOID:7401	oboInOwl:hasDbXref	NCI:C27447	Unspecified	colonic L-cell glucagon-like peptide producing tumor
DOID:8731	oboInOwl:hasDbXref	NCI:C3574	Unspecified	carotid body cancer
DOID:8725	oboInOwl:hasDbXref	NCI:C34525	Unspecified	vascular dementia
DOID:8725	oboInOwl:hasDbXref	NCI:C34522	Unspecified	vascular dementia
