# curie_map:
#   DOID: http://purl.obolibrary.org/obo/DOID_
#   EFO: http://www.ebi.ac.uk/efo/EFO_
#   ENVO: http://purl.obolibrary.org/obo/ENVO_
#   ExO: http://purl.obolibrary.org/obo/ExO_
#   GARD: GARD
#   ICD10CM: http://apps.who.int/classifications/icd10/browse/2010/en#/
#   ICD9CM: ICD9CM
#   ICDO: ICDO
#   KEGG: http://www.kegg.jp/entry/
#   MEDDRA: MEDDRA
#   MESH: https://meshb.nlm.nih.gov/record/ui?ui=
#   NCI: http://purl.obolibrary.org/obo/NCIT_
#   OMIM: http://omim.org/entry/
#   OMIT: http://purl.obolibrary.org/obo/OMIT_
#   ORDO: ORDO
#   SNOMEDCT_US_2020_03_01: http://www.snomedbrowser.com/Codes/Details/
#   SNOMEDCT_US_2020_09_01: http://www.snomedbrowser.com/Codes/Details/
#   SNOMEDCT_US_2021_07_31: SNOMEDCT_US_2021_07_31
#   SNOMEDCT_US_2021_09_01: http://www.snomedbrowser.com/Codes/Details/
#   UMLS_CUI: http://linkedlifedata.com/resource/umls/id/
#   oboInOwl: http://www.geneontology.org/formats/oboInOwl#
#   skos: http://www.w3.org/2004/02/skos/core#
# license: https://github.com/mapping-commons/mapping-commons.github.io/blob/main/docs/original_license_applies.md
# mapping_date: '2022-02-23'
# mapping_set_id: http://w3id.org/mapping_commons/disease-mappings/onto-icd10
# mapping_tool: https://github.com/mapping-commons/sssom-py
subject_id	predicate_id	object_id	match_type	subject_label
DOID:7400	oboInOwl:hasDbXref	OMIM:251260	Unspecified	Nijmegen breakage syndrome
DOID:6126	oboInOwl:hasDbXref	OMIM:105580	Unspecified	anal canal carcinoma
DOID:8757	oboInOwl:hasDbXref	OMIM:137280	Unspecified	gastric mucosal hypertrophy
DOID:14118	oboInOwl:hasDbXref	OMIM:238600	Unspecified	familial lipoprotein lipase deficiency
DOID:14116	oboInOwl:hasDbXref	OMIM:151900	Unspecified	multiple symmetric lipomatosis
DOID:14116	oboInOwl:hasDbXref	OMIM:151800	Unspecified	multiple symmetric lipomatosis
DOID:14179	oboInOwl:hasDbXref	OMIM:300755	Unspecified	X-linked agammaglobulinemia
DOID:14175	oboInOwl:hasDbXref	OMIM:193300	Unspecified	von Hippel-Lindau disease
DOID:6245	oboInOwl:hasDbXref	OMIM:553000	Unspecified	renal oncocytoma
DOID:8864	oboInOwl:hasDbXref	OMIM:151380	Unspecified	acute monocytic leukemia
DOID:8893	oboInOwl:hasDbXref	OMIM:PS177900	Unspecified	psoriasis
DOID:6225	oboInOwl:hasDbXref	OMIM:175500	Unspecified	Cronkhite-Canada syndrome
DOID:14221	oboInOwl:hasDbXref	OMIM:605552	Unspecified	abdominal obesity-metabolic syndrome 1
DOID:14219	oboInOwl:hasDbXref	OMIM:602722	Unspecified	renal tubular acidosis
DOID:14219	oboInOwl:hasDbXref	OMIM:267200	Unspecified	renal tubular acidosis
DOID:14219	oboInOwl:hasDbXref	OMIM:179830	Unspecified	renal tubular acidosis
DOID:14218	oboInOwl:hasDbXref	OMIM:274270	Unspecified	dihydropyrimidine dehydrogenase deficiency
DOID:14291	oboInOwl:hasDbXref	OMIM:PS151100	Unspecified	Noonan syndrome with multiple lentigines
DOID:14289	oboInOwl:hasDbXref	OMIM:224700	Unspecified	Ebstein anomaly
DOID:14283	oboInOwl:hasDbXref	OMIM:259100	Unspecified	primary hypertrophic osteoarthropathy
DOID:14264	oboInOwl:hasDbXref	OMIM:121201	Unspecified	benign neonatal seizures
DOID:14264	oboInOwl:hasDbXref	OMIM:121200	Unspecified	benign neonatal seizures
DOID:14264	oboInOwl:hasDbXref	OMIM:269720	Unspecified	benign neonatal seizures
DOID:14261	oboInOwl:hasDbXref	OMIM:300624	Unspecified	fragile X syndrome
DOID:14250	oboInOwl:hasDbXref	OMIM:190685	Unspecified	Down syndrome
DOID:9808	oboInOwl:hasDbXref	OMIM:233450	Unspecified	Goodpasture syndrome
