# curie_map:
#   DOID: http://purl.obolibrary.org/obo/DOID_
#   EFO: http://www.ebi.ac.uk/efo/EFO_
#   ENVO: http://purl.obolibrary.org/obo/ENVO_
#   ExO: http://purl.obolibrary.org/obo/ExO_
#   GARD: GARD
#   ICD10CM: http://apps.who.int/classifications/icd10/browse/2010/en#/
#   ICD9CM: ICD9CM
#   ICDO: ICDO
#   KEGG: http://www.kegg.jp/entry/
#   MEDDRA: MEDDRA
#   MESH: https://meshb.nlm.nih.gov/record/ui?ui=
#   NCI: http://purl.obolibrary.org/obo/NCIT_
#   OMIM: http://omim.org/entry/
#   OMIT: http://purl.obolibrary.org/obo/OMIT_
#   ORDO: ORDO
#   SNOMEDCT_US_2020_03_01: http://www.snomedbrowser.com/Codes/Details/
#   SNOMEDCT_US_2020_09_01: http://www.snomedbrowser.com/Codes/Details/
#   SNOMEDCT_US_2021_07_31: SNOMEDCT_US_2021_07_31
#   SNOMEDCT_US_2021_09_01: http://www.snomedbrowser.com/Codes/Details/
#   UMLS_CUI: http://linkedlifedata.com/resource/umls/id/
#   oboInOwl: http://www.geneontology.org/formats/oboInOwl#
#   skos: http://www.w3.org/2004/02/skos/core#
# license: https://github.com/mapping-commons/mapping-commons.github.io/blob/main/docs/original_license_applies.md
# mapping_date: '2022-02-23'
# mapping_set_id: http://w3id.org/mapping_commons/disease-mappings/onto-icd10
# mapping_tool: https://github.com/mapping-commons/sssom-py
subject_id	predicate_id	object_id	match_type	subject_label
DOID:8712	oboInOwl:hasDbXref	ORDO:93921	Unspecified	neurofibromatosis
DOID:7400	oboInOwl:hasDbXref	ORDO:647	Unspecified	Nijmegen breakage syndrome
DOID:14118	oboInOwl:hasDbXref	ORDO:309015	Unspecified	familial lipoprotein lipase deficiency
DOID:14179	oboInOwl:hasDbXref	ORDO:47	Unspecified	X-linked agammaglobulinemia
DOID:14227	oboInOwl:hasDbXref	ORDO:217034	Unspecified	azoospermia
DOID:14213	oboInOwl:hasDbXref	ORDO:436	Unspecified	hypophosphatasia
DOID:14291	oboInOwl:hasDbXref	ORDO:500	Unspecified	Noonan syndrome with multiple lentigines
DOID:14264	oboInOwl:hasDbXref	ORDO:1949	Unspecified	benign neonatal seizures
DOID:14261	oboInOwl:hasDbXref	ORDO:908	Unspecified	fragile X syndrome
DOID:14250	oboInOwl:hasDbXref	ORDO:870	Unspecified	Down syndrome
DOID:9821	oboInOwl:hasDbXref	ORDO:180	Unspecified	choroideremia
DOID:8552	oboInOwl:hasDbXref	ORDO:521	Unspecified	chronic myeloid leukemia
DOID:9883	oboInOwl:hasDbXref	ORDO:98895	Unspecified	Becker muscular dystrophy
DOID:8545	oboInOwl:hasDbXref	ORDO:423	Unspecified	malignant hyperthermia
DOID:8567	oboInOwl:hasDbXref	ORDO:98293	Unspecified	Hodgkin's lymphoma
DOID:7147	oboInOwl:hasDbXref	ORDO:825	Unspecified	ankylosing spondylitis
DOID:0080038	oboInOwl:hasDbXref	ORDO:763	Unspecified	pycnodysostosis
DOID:0080037	oboInOwl:hasDbXref	ORDO:2790	Unspecified	Worth syndrome
DOID:0080036	oboInOwl:hasDbXref	ORDO:3152	Unspecified	SOST-related sclerosing bone dysplasia
DOID:8461	oboInOwl:hasDbXref	ORDO:50	Unspecified	Aicardi syndrome
DOID:0080033	oboInOwl:hasDbXref	ORDO:1522	Unspecified	craniometaphyseal dysplasia
DOID:0080049	oboInOwl:hasDbXref	ORDO:93437	Unspecified	acromesomelic dysplasia
DOID:0080046	oboInOwl:hasDbXref	ORDO:828	Unspecified	Stickler syndrome
DOID:0080041	oboInOwl:hasDbXref	ORDO:429	Unspecified	hypochondroplasia
DOID:0080052	oboInOwl:hasDbXref	ORDO:2098	Unspecified	acromesomelic dysplasia, Grebe type
DOID:0080051	oboInOwl:hasDbXref	ORDO:968	Unspecified	acromesomelic dysplasia, Hunter-Thompson type
DOID:0080050	oboInOwl:hasDbXref	ORDO:40	Unspecified	acromesomelic dysplasia, Maroteaux type
DOID:0080079	oboInOwl:hasDbXref	ORDO:79153	Unspecified	nonsyndromic congenital nail disorder 1
DOID:0080079	oboInOwl:hasDbXref	ORDO:280654	Unspecified	nonsyndromic congenital nail disorder 1
DOID:0080072	oboInOwl:hasDbXref	ORDO:2978	Unspecified	intestinal pseudo-obstruction
DOID:0080071	oboInOwl:hasDbXref	ORDO:577	Unspecified	mucolipidosis III alpha/beta
DOID:0080089	skos:narrowMatch	ORDO:2593	Unspecified	tubular aggregate myopathy 1
DOID:0080099	oboInOwl:hasDbXref	ORDO:2598	Unspecified	myopathy, lactic acidosis, and sideroblastic anemia
DOID:0080094	oboInOwl:hasDbXref	ORDO:266	Unspecified	myofibrillar myopathy 3
DOID:0080093	oboInOwl:hasDbXref	ORDO:399058	Unspecified	myofibrillar myopathy 2
DOID:0080092	oboInOwl:hasDbXref	ORDO:363543	Unspecified	myofibrillar myopathy 1
DOID:6039	oboInOwl:hasDbXref	ORDO:39044	Unspecified	uveal melanoma
DOID:9955	oboInOwl:hasDbXref	ORDO:2248	Unspecified	hypoplastic left heart syndrome
DOID:9952	oboInOwl:hasDbXref	ORDO:513	Unspecified	acute lymphoblastic leukemia
DOID:0080205	oboInOwl:hasDbXref	ORDO:93545	Unspecified	CAKUT
DOID:0080204	oboInOwl:hasDbXref	ORDO:93101	Unspecified	renal hypoplasia
DOID:0080200	oboInOwl:hasDbXref	ORDO:1848	Unspecified	bilateral renal aplasia
DOID:0080210	oboInOwl:hasDbXref	ORDO:98838	Unspecified	primary mediastinal B-cell lymphoma
DOID:0080109	oboInOwl:hasDbXref	ORDO:2591	Unspecified	infantile myofibromatosis
DOID:0080101	oboInOwl:hasDbXref	ORDO:210163	Unspecified	Compton-North congenital myopathy
DOID:0080119	oboInOwl:hasDbXref	ORDO:298	Unspecified	mitochondrial DNA depletion syndrome 1
DOID:0080129	oboInOwl:hasDbXref	ORDO:352447	Unspecified	mitochondrial DNA depletion syndrome 11
DOID:0080128	oboInOwl:hasDbXref	ORDO:17	Unspecified	mitochondrial DNA depletion syndrome 9
DOID:0080125	oboInOwl:hasDbXref	ORDO:255229	Unspecified	mitochondrial DNA depletion syndrome 6
DOID:0080123	oboInOwl:hasDbXref	ORDO:298	Unspecified	mitochondrial DNA depletion syndrome 4b
DOID:0080122	oboInOwl:hasDbXref	ORDO:726	Unspecified	Alpers-Huttenlocher syndrome
DOID:0080121	oboInOwl:hasDbXref	ORDO:279934	Unspecified	mitochondrial DNA depletion syndrome 3
DOID:0080120	oboInOwl:hasDbXref	ORDO:254875	Unspecified	mitochondrial DNA depletion syndrome 2
DOID:0080139	oboInOwl:hasDbXref	ORDO:300496	Unspecified	multiple congenital anomalies-hypotonia-seizures syndrome 2
DOID:0080136	oboInOwl:hasDbXref	ORDO:457406	Unspecified	multiple mitochondrial dysfunctions syndrome 4
DOID:0080135	oboInOwl:hasDbXref	ORDO:363424	Unspecified	multiple mitochondrial dysfunctions syndrome 3
DOID:0080134	oboInOwl:hasDbXref	ORDO:401874	Unspecified	multiple mitochondrial dysfunctions syndrome 2
DOID:0080133	oboInOwl:hasDbXref	ORDO:401869	Unspecified	multiple mitochondrial dysfunctions syndrome 1
DOID:0080132	oboInOwl:hasDbXref	ORDO:1369	Unspecified	Sengers syndrome
DOID:0080131	oboInOwl:hasDbXref	ORDO:369897	Unspecified	mitochondrial DNA depletion syndrome 13
DOID:0080143	oboInOwl:hasDbXref	ORDO:45358	Unspecified	congenital fibrosis of the extraocular muscles
DOID:8584	oboInOwl:hasDbXref	ORDO:543	Unspecified	Burkitt lymphoma
DOID:0080175	oboInOwl:hasDbXref	ORDO:93929	Unspecified	cloacal exstrophy
DOID:0080174	oboInOwl:hasDbXref	ORDO:93930	Unspecified	bladder exstrophy
DOID:0080173	oboInOwl:hasDbXref	ORDO:322	Unspecified	bladder exstrophy-epispadias-cloacal exstrophy complex
DOID:0080181	oboInOwl:hasDbXref	ORDO:171848	Unspecified	PHARC syndrome
DOID:0080196	oboInOwl:hasDbXref	ORDO:79113	Unspecified	mandibulofacial dysostosis, Guion-Almeida type
DOID:0080195	oboInOwl:hasDbXref	ORDO:559	Unspecified	Marinesco-Sjogren syndrome
DOID:0080193	oboInOwl:hasDbXref	ORDO:420402	Unspecified	superior semicircular canal dehiscence
DOID:14004	oboInOwl:hasDbXref	ORDO:91387	Unspecified	thoracic aortic aneurysm
DOID:5212	oboInOwl:hasDbXref	ORDO:137	Unspecified	congenital disorder of glycosylation
DOID:0060703	oboInOwl:hasDbXref	ORDO:53271	Unspecified	Muenke Syndrome
DOID:0060702	oboInOwl:hasDbXref	ORDO:101050	Unspecified	familial hypocalciuric hypercalcemia 3
DOID:0060701	oboInOwl:hasDbXref	ORDO:101049	Unspecified	familial hypocalciuric hypercalcemia 2
DOID:0060700	oboInOwl:hasDbXref	ORDO:93372	Unspecified	familial hypocalciuric hypercalcemia 1
DOID:5230	oboInOwl:hasDbXref	ORDO:95159	Unspecified	hepatoerythropoietic porphyria
DOID:0060713	oboInOwl:hasDbXref	ORDO:457	Unspecified	autosomal recessive congenital ichthyosis 4B
DOID:0060728	oboInOwl:hasDbXref	ORDO:404454	Unspecified	NGLY1-deficiency
DOID:0060732	oboInOwl:hasDbXref	ORDO:261112	Unspecified	chromosome 9p deletion syndrome
DOID:0060731	oboInOwl:hasDbXref	ORDO:661	Unspecified	congenital central hypoventilation syndrome
DOID:0060730	oboInOwl:hasDbXref	ORDO:256	Unspecified	torsion dystonia 1
DOID:0060736	oboInOwl:hasDbXref	ORDO:79401	Unspecified	epidermolysis bullosa simplex Ogna type
DOID:0060735	oboInOwl:hasDbXref	ORDO:79396	Unspecified	epidermolysis bullosa simplex Dowling-Meara type
DOID:0060733	oboInOwl:hasDbXref	ORDO:79403	Unspecified	junctional epidermolysis bullosa with pyloric atresia
DOID:0060739	oboInOwl:hasDbXref	ORDO:2438	Unspecified	hand-foot-genital syndrome
DOID:0060738	oboInOwl:hasDbXref	ORDO:79402	Unspecified	junctional epidermolysis bullosa non-Herlitz type
DOID:0060738	oboInOwl:hasDbXref	ORDO:89840	Unspecified	junctional epidermolysis bullosa non-Herlitz type
DOID:0060737	oboInOwl:hasDbXref	ORDO:79404	Unspecified	junctional epidermolysis bullosa Herlitz type
