# curie_map:
#   DOID: http://purl.obolibrary.org/obo/DOID_
#   EFO: http://www.ebi.ac.uk/efo/EFO_
#   ENVO: http://purl.obolibrary.org/obo/ENVO_
#   ExO: http://purl.obolibrary.org/obo/ExO_
#   GARD: GARD
#   ICD10CM: http://apps.who.int/classifications/icd10/browse/2010/en#/
#   ICD9CM: ICD9CM
#   ICDO: ICDO
#   KEGG: http://www.kegg.jp/entry/
#   MEDDRA: MEDDRA
#   MESH: https://meshb.nlm.nih.gov/record/ui?ui=
#   NCI: http://purl.obolibrary.org/obo/NCIT_
#   OMIM: http://omim.org/entry/
#   OMIT: http://purl.obolibrary.org/obo/OMIT_
#   ORDO: ORDO
#   SNOMEDCT_US_2020_03_01: http://www.snomedbrowser.com/Codes/Details/
#   SNOMEDCT_US_2020_09_01: http://www.snomedbrowser.com/Codes/Details/
#   SNOMEDCT_US_2021_07_31: SNOMEDCT_US_2021_07_31
#   SNOMEDCT_US_2021_09_01: http://www.snomedbrowser.com/Codes/Details/
#   UMLS_CUI: http://linkedlifedata.com/resource/umls/id/
#   oboInOwl: http://www.geneontology.org/formats/oboInOwl#
#   skos: http://www.w3.org/2004/02/skos/core#
# license: https://github.com/mapping-commons/mapping-commons.github.io/blob/main/docs/original_license_applies.md
# mapping_date: '2022-02-23'
# mapping_set_id: http://w3id.org/mapping_commons/disease-mappings/onto-icd10
# mapping_tool: https://github.com/mapping-commons/sssom-py
subject_id	predicate_id	object_id	match_type	subject_label
DOID:8717	oboInOwl:hasDbXref	SNOMEDCT_US_2021_09_01:28103007	Unspecified	decubitus ulcer
DOID:8712	oboInOwl:hasDbXref	SNOMEDCT_US_2021_09_01:154642000	Unspecified	neurofibromatosis
DOID:8719	oboInOwl:hasDbXref	SNOMEDCT_US_2021_09_01:109355002	Unspecified	in situ carcinoma
DOID:8704	oboInOwl:hasDbXref	SNOMEDCT_US_2021_09_01:154333002	Unspecified	genital herpes
DOID:8702	oboInOwl:hasDbXref	SNOMEDCT_US_2021_09_01:93735006	Unspecified	cheek mucosa cancer
DOID:8738	oboInOwl:hasDbXref	SNOMEDCT_US_2021_09_01:266639006	Unspecified	leukoplakia of penis
DOID:8736	oboInOwl:hasDbXref	SNOMEDCT_US_2021_09_01:266193008	Unspecified	smallpox
DOID:7400	oboInOwl:hasDbXref	SNOMEDCT_US_2021_09_01:234638009	Unspecified	Nijmegen breakage syndrome
DOID:8731	oboInOwl:hasDbXref	SNOMEDCT_US_2021_09_01:93740003	Unspecified	carotid body cancer
DOID:8729	oboInOwl:hasDbXref	SNOMEDCT_US_2021_09_01:266193008	Unspecified	milker's nodule
DOID:8725	oboInOwl:hasDbXref	SNOMEDCT_US_2021_09_01:56267009	Unspecified	vascular dementia
DOID:8725	oboInOwl:hasDbXref	SNOMEDCT_US_2021_09_01:192165000	Unspecified	vascular dementia
DOID:7465	oboInOwl:hasDbXref	SNOMEDCT_US_2021_09_01:722955006	Unspecified	chronic NK-cell lymphocytosis
DOID:6132	oboInOwl:hasDbXref	SNOMEDCT_US_2021_09_01:155512004	Unspecified	bronchitis
DOID:6132	oboInOwl:hasDbXref	SNOMEDCT_US_2021_09_01:155566007	Unspecified	bronchitis
DOID:6132	oboInOwl:hasDbXref	SNOMEDCT_US_2021_09_01:32398004	Unspecified	bronchitis
DOID:8792	oboInOwl:hasDbXref	SNOMEDCT_US_2021_09_01:92590009	Unspecified	eye carcinoma in situ
DOID:8791	oboInOwl:hasDbXref	SNOMEDCT_US_2021_09_01:154636004	Unspecified	breast carcinoma in situ
DOID:6128	oboInOwl:hasDbXref	SNOMEDCT_US_2021_09_01:26138003	Unspecified	gliomatosis cerebri
DOID:6126	oboInOwl:hasDbXref	SNOMEDCT_US_2021_09_01:285310000	Unspecified	anal canal carcinoma
DOID:7457	oboInOwl:hasDbXref	SNOMEDCT_US_2021_09_01:154415009	Unspecified	enterobiasis
DOID:8787	oboInOwl:hasDbXref	SNOMEDCT_US_2021_09_01:78769001	Unspecified	disseminated chorioretinitis
DOID:8781	oboInOwl:hasDbXref	SNOMEDCT_US_2021_09_01:266192003	Unspecified	rubella
DOID:7489	oboInOwl:hasDbXref	SNOMEDCT_US_2021_09_01:72047008	Unspecified	Osgood-Schlatter's disease
DOID:6148	oboInOwl:hasDbXref	SNOMEDCT_US_2021_09_01:92663007	Unspecified	nasal cavity carcinoma in situ
DOID:7475	oboInOwl:hasDbXref	SNOMEDCT_US_2021_09_01:155779000	Unspecified	diverticulitis
DOID:7474	oboInOwl:hasDbXref	SNOMEDCT_US_2021_09_01:254645002	Unspecified	malignant pleural mesothelioma
DOID:7480	oboInOwl:hasDbXref	SNOMEDCT_US_2021_09_01:128629005	Unspecified	large cell carcinoma with rhabdoid phenotype
DOID:7426	oboInOwl:hasDbXref	SNOMEDCT_US_2021_09_01:84980006	Unspecified	cutaneous anthrax
DOID:8757	oboInOwl:hasDbXref	SNOMEDCT_US_2021_09_01:60002000	Unspecified	gastric mucosal hypertrophy
DOID:7427	oboInOwl:hasDbXref	SNOMEDCT_US_2021_09_01:154295005	Unspecified	anthrax disease
DOID:8747	oboInOwl:hasDbXref	SNOMEDCT_US_2021_09_01:95278004	Unspecified	subacute myeloid leukemia
DOID:8743	oboInOwl:hasDbXref	SNOMEDCT_US_2021_09_01:34730008	Unspecified	erythema infectiosum
DOID:8741	oboInOwl:hasDbXref	SNOMEDCT_US_2021_09_01:156328004	Unspecified	seborrheic dermatitis
DOID:8778	oboInOwl:hasDbXref	SNOMEDCT_US_2021_09_01:7620006	Unspecified	Crohn's disease
DOID:6112	oboInOwl:hasDbXref	SNOMEDCT_US_2021_09_01:189164002	Unspecified	cerebral meningioma
DOID:8771	oboInOwl:hasDbXref	SNOMEDCT_US_2021_09_01:74050005	Unspecified	contagious pustular dermatitis
DOID:7439	oboInOwl:hasDbXref	SNOMEDCT_US_2021_09_01:155244001	Unspecified	polyp of middle ear
DOID:8761	oboInOwl:hasDbXref	SNOMEDCT_US_2021_09_01:52220008	Unspecified	acute megakaryocytic leukemia
DOID:6098	oboInOwl:hasDbXref	SNOMEDCT_US_2021_09_01:188287005	Unspecified	thalamic neoplasm
DOID:14107	oboInOwl:hasDbXref	SNOMEDCT_US_2021_09_01:202905002	Unspecified	De Quervain disease
DOID:6088	oboInOwl:hasDbXref	SNOMEDCT_US_2021_09_01:192043003	Unspecified	acute stress disorder
DOID:6085	oboInOwl:hasDbXref	SNOMEDCT_US_2021_09_01:726420002	Unspecified	meningeal melanoma
DOID:14110	oboInOwl:hasDbXref	SNOMEDCT_US_2021_09_01:93676009	Unspecified	anus cancer
DOID:14110	oboInOwl:hasDbXref	SNOMEDCT_US_2021_09_01:93669004	Unspecified	anus cancer
DOID:14111	oboInOwl:hasDbXref	SNOMEDCT_US_2021_09_01:7522008	Unspecified	median rhomboid glossitis
DOID:14118	oboInOwl:hasDbXref	SNOMEDCT_US_2021_09_01:34171006	Unspecified	familial lipoprotein lipase deficiency
DOID:14116	oboInOwl:hasDbXref	SNOMEDCT_US_2021_09_01:238902007	Unspecified	multiple symmetric lipomatosis
DOID:14116	oboInOwl:hasDbXref	SNOMEDCT_US_2021_09_01:65245004	Unspecified	multiple symmetric lipomatosis
DOID:14115	oboInOwl:hasDbXref	SNOMEDCT_US_2021_09_01:18504008	Unspecified	toxic shock syndrome
DOID:6059	oboInOwl:hasDbXref	SNOMEDCT_US_2021_09_01:232364006	Unspecified	nasal vestibule papilloma
DOID:6050	oboInOwl:hasDbXref	SNOMEDCT_US_2021_09_01:266497000	Unspecified	esophageal disease
DOID:7380	oboInOwl:hasDbXref	SNOMEDCT_US_2021_09_01:254661000	Unspecified	squamous cell papilloma of skin
DOID:6067	oboInOwl:hasDbXref	SNOMEDCT_US_2021_09_01:189683008	Unspecified	ovarian mucinous neoplasm
DOID:14192	oboInOwl:hasDbXref	SNOMEDCT_US_2021_09_01:202840002	Unspecified	bicipital tenosynovitis
DOID:14188	oboInOwl:hasDbXref	SNOMEDCT_US_2021_09_01:156664007	Unspecified	frozen shoulder
