# curie_map:
#   DOID: http://purl.obolibrary.org/obo/DOID_
#   EFO: http://www.ebi.ac.uk/efo/EFO_
#   ENVO: http://purl.obolibrary.org/obo/ENVO_
#   ExO: http://purl.obolibrary.org/obo/ExO_
#   GARD: GARD
#   ICD10CM: http://apps.who.int/classifications/icd10/browse/2010/en#/
#   ICD9CM: ICD9CM
#   ICDO: ICDO
#   KEGG: http://www.kegg.jp/entry/
#   MEDDRA: MEDDRA
#   MESH: https://meshb.nlm.nih.gov/record/ui?ui=
#   NCI: http://purl.obolibrary.org/obo/NCIT_
#   OMIM: http://omim.org/entry/
#   OMIT: http://purl.obolibrary.org/obo/OMIT_
#   ORDO: ORDO
#   SNOMEDCT_US_2020_03_01: http://www.snomedbrowser.com/Codes/Details/
#   SNOMEDCT_US_2020_09_01: http://www.snomedbrowser.com/Codes/Details/
#   SNOMEDCT_US_2021_07_31: SNOMEDCT_US_2021_07_31
#   SNOMEDCT_US_2021_09_01: http://www.snomedbrowser.com/Codes/Details/
#   UMLS_CUI: http://linkedlifedata.com/resource/umls/id/
#   oboInOwl: http://www.geneontology.org/formats/oboInOwl#
#   skos: http://www.w3.org/2004/02/skos/core#
# license: https://github.com/mapping-commons/mapping-commons.github.io/blob/main/docs/original_license_applies.md
# mapping_date: '2022-02-23'
# mapping_set_id: http://w3id.org/mapping_commons/disease-mappings/onto-icd10
# mapping_tool: https://github.com/mapping-commons/sssom-py
subject_id	predicate_id	object_id	match_type	subject_label
DOID:8717	oboInOwl:hasDbXref	UMLS_CUI:C0011127	Unspecified	decubitus ulcer
DOID:8712	oboInOwl:hasDbXref	UMLS_CUI:C0162678	Unspecified	neurofibromatosis
DOID:8719	oboInOwl:hasDbXref	UMLS_CUI:C0007099	Unspecified	in situ carcinoma
DOID:8704	oboInOwl:hasDbXref	UMLS_CUI:C0019342	Unspecified	genital herpes
DOID:8702	oboInOwl:hasDbXref	UMLS_CUI:C0153373	Unspecified	cheek mucosa cancer
DOID:7408	oboInOwl:hasDbXref	UMLS_CUI:C1520086	Unspecified	vulvar keratoacanthoma-like carcinoma
DOID:7409	oboInOwl:hasDbXref	UMLS_CUI:C1520092	Unspecified	vulvar non-keratinizing squamous cell carcinoma
DOID:8738	oboInOwl:hasDbXref	UMLS_CUI:C0022782	Unspecified	leukoplakia of penis
DOID:8736	oboInOwl:hasDbXref	UMLS_CUI:C0037354	Unspecified	smallpox
DOID:7402	oboInOwl:hasDbXref	UMLS_CUI:C3274140	Unspecified	L-cell glucagon-like peptide producing tumor
DOID:7400	oboInOwl:hasDbXref	UMLS_CUI:C0398791	Unspecified	Nijmegen breakage syndrome
DOID:7401	oboInOwl:hasDbXref	UMLS_CUI:C3274139	Unspecified	colonic L-cell glucagon-like peptide producing tumor
DOID:8731	oboInOwl:hasDbXref	UMLS_CUI:C0153656	Unspecified	carotid body cancer
DOID:8729	oboInOwl:hasDbXref	UMLS_CUI:C0026143	Unspecified	milker's nodule
DOID:8725	oboInOwl:hasDbXref	UMLS_CUI:C0011269	Unspecified	vascular dementia
DOID:8725	oboInOwl:hasDbXref	UMLS_CUI:C0011263	Unspecified	vascular dementia
DOID:6139	oboInOwl:hasDbXref	UMLS_CUI:C1519851	Unspecified	uterine corpus epithelioid leiomyosarcoma
DOID:7465	oboInOwl:hasDbXref	UMLS_CUI:C1512709	Unspecified	chronic NK-cell lymphocytosis
DOID:6132	oboInOwl:hasDbXref	UMLS_CUI:C0149514	Unspecified	bronchitis
DOID:6132	oboInOwl:hasDbXref	UMLS_CUI:C0008677	Unspecified	bronchitis
DOID:6132	oboInOwl:hasDbXref	UMLS_CUI:C0006277	Unspecified	bronchitis
DOID:7463	oboInOwl:hasDbXref	UMLS_CUI:C0279614	Unspecified	childhood pleomorphic rhabdomyosarcoma
DOID:8792	oboInOwl:hasDbXref	UMLS_CUI:C0154094	Unspecified	eye carcinoma in situ
DOID:7460	oboInOwl:hasDbXref	UMLS_CUI:C1519487	Unspecified	spindle cell variant squamous cell breast carcinoma
DOID:8791	oboInOwl:hasDbXref	UMLS_CUI:C0154084	Unspecified	breast carcinoma in situ
DOID:7461	oboInOwl:hasDbXref	UMLS_CUI:C1519486	Unspecified	large cell keratinizing variant squamous cell breast carcinoma
DOID:7459	oboInOwl:hasDbXref	UMLS_CUI:C1519485	Unspecified	acantholytic variant squamous cell breast carcinoma
DOID:6128	oboInOwl:hasDbXref	UMLS_CUI:C0334576	Unspecified	gliomatosis cerebri
DOID:6126	oboInOwl:hasDbXref	UMLS_CUI:C0563211	Unspecified	anal canal carcinoma
DOID:7457	oboInOwl:hasDbXref	UMLS_CUI:C0030100	Unspecified	enterobiasis
DOID:8787	oboInOwl:hasDbXref	UMLS_CUI:C0154879	Unspecified	disseminated chorioretinitis
DOID:8781	oboInOwl:hasDbXref	UMLS_CUI:C0035920	Unspecified	rubella
DOID:7488	oboInOwl:hasDbXref	UMLS_CUI:C0279931	Unspecified	posterior urethra cancer
DOID:7489	oboInOwl:hasDbXref	UMLS_CUI:C0029376	Unspecified	Osgood-Schlatter's disease
DOID:7482	oboInOwl:hasDbXref	UMLS_CUI:C1335396	Unspecified	petrous apex meningioma
DOID:7483	oboInOwl:hasDbXref	UMLS_CUI:C1517658	Unspecified	cervical keratinizing squamous cell carcinoma
DOID:7491	oboInOwl:hasDbXref	UMLS_CUI:C1520093	Unspecified	vulvar proximal-type epithelioid sarcoma
DOID:6160	oboInOwl:hasDbXref	UMLS_CUI:C1333006	Unspecified	childhood choriocarcinoma of the testis
DOID:7492	oboInOwl:hasDbXref	UMLS_CUI:C1335563	Unspecified	central epithelioid sarcoma
DOID:6161	oboInOwl:hasDbXref	UMLS_CUI:C1333009	Unspecified	childhood testicular mixed germ cell tumor
DOID:6148	oboInOwl:hasDbXref	UMLS_CUI:C0347095	Unspecified	nasal cavity carcinoma in situ
DOID:7479	oboInOwl:hasDbXref	UMLS_CUI:C1333320	Unspecified	duodenal somatostatinoma
