# curie_map:
#   Ensembl: https://www.ensembl.org/id/
#   Genatlas: Genatlas
#   HGNC: HGNC
#   IUPHAR: IUPHAR
#   MeSH: MeSH
#   MedDRA: http://purl.bioontology.org/ontology/MEDDRA/
#   OMIM: http://omim.org/entry/
#   Reactome: Reactome
#   SwissProt: http://purl.uniprot.org/uniprot/
#   UMLS: http://linkedlifedata.com/resource/umls/id/
#   oboInOwl: http://www.geneontology.org/formats/oboInOwl#
#   ordo: http://www.orpha.net/ORDO/Orphanet_
# license: https://github.com/mapping-commons/mapping-commons.github.io/blob/main/docs/original_license_applies.md
# mapping_date: '2022-02-23'
# mapping_set_id: http://w3id.org/mapping_commons/disease-mappings/onto-icd10
# mapping_tool: https://github.com/mapping-commons/sssom-py
subject_id	predicate_id	object_id	match_type	subject_label
ordo:403591	oboInOwl:hasDbXref	Ensembl:ENSG00000152669	Unspecified	cyclin O
ordo:235504	oboInOwl:hasDbXref	Ensembl:ENSG00000175832	Unspecified	ETS variant transcription factor 4
ordo:138376	oboInOwl:hasDbXref	Ensembl:ENSG00000113721	Unspecified	platelet derived growth factor receptor beta
ordo:500722	oboInOwl:hasDbXref	Ensembl:ENSG00000139324	Unspecified	transmembrane O-mannosyltransferase targeting cadherins 3
ordo:500726	oboInOwl:hasDbXref	Ensembl:ENSG00000111087	Unspecified	GLI family zinc finger 1
ordo:138383	oboInOwl:hasDbXref	Ensembl:ENSG00000121454	Unspecified	LIM homeobox 4
ordo:138386	oboInOwl:hasDbXref	Ensembl:ENSG00000134595	Unspecified	SRY-box transcription factor 3
ordo:465808	oboInOwl:hasDbXref	Ensembl:ENSG00000142599	Unspecified	arginine-glutamic acid dipeptide repeats
ordo:354069	oboInOwl:hasDbXref	Ensembl:ENSG00000148655	Unspecified	leucine rich melanocyte differentiation associated
ordo:572371	oboInOwl:hasDbXref	Ensembl:ENSG00000145495	Unspecified	membrane associated ring-CH-type finger 6
ordo:260545	oboInOwl:hasDbXref	Ensembl:ENSG00000107890	Unspecified	ankyrin repeat domain 26
ordo:356638	oboInOwl:hasDbXref	Ensembl:ENSG00000211956	Unspecified	immunoglobulin heavy variable 4-34
ordo:260599	oboInOwl:hasDbXref	Ensembl:ENSG00000118004	Unspecified	collectin subfamily member 11
ordo:260595	oboInOwl:hasDbXref	Ensembl:ENSG00000168237	Unspecified	glycerate kinase
ordo:260588	oboInOwl:hasDbXref	Ensembl:ENSG00000085840	Unspecified	origin recognition complex subunit 1
ordo:260583	oboInOwl:hasDbXref	Ensembl:ENSG00000095015	Unspecified	mitogen-activated protein kinase kinase kinase 1
ordo:487189	oboInOwl:hasDbXref	Ensembl:ENSG00000197780	Unspecified	TATA-box binding protein associated factor 13
ordo:320765	oboInOwl:hasDbXref	Ensembl:ENSG00000181192	Unspecified	dehydrogenase E1 and transketolase domain containing 1
ordo:320756	oboInOwl:hasDbXref	Ensembl:ENSG00000134343	Unspecified	anoctamin 3
ordo:572412	oboInOwl:hasDbXref	Ensembl:ENSG00000152578	Unspecified	glutamate ionotropic receptor AMPA type subunit 4
