# curie_map:
#   Ensembl: https://www.ensembl.org/id/
#   Genatlas: Genatlas
#   HGNC: HGNC
#   IUPHAR: IUPHAR
#   MeSH: MeSH
#   MedDRA: http://purl.bioontology.org/ontology/MEDDRA/
#   OMIM: http://omim.org/entry/
#   Reactome: Reactome
#   SwissProt: http://purl.uniprot.org/uniprot/
#   UMLS: http://linkedlifedata.com/resource/umls/id/
#   oboInOwl: http://www.geneontology.org/formats/oboInOwl#
#   ordo: http://www.orpha.net/ORDO/Orphanet_
# license: https://github.com/mapping-commons/mapping-commons.github.io/blob/main/docs/original_license_applies.md
# mapping_date: '2022-02-23'
# mapping_set_id: http://w3id.org/mapping_commons/disease-mappings/onto-icd10
# mapping_tool: https://github.com/mapping-commons/sssom-py
subject_id	predicate_id	object_id	match_type	subject_label
ordo:403591	oboInOwl:hasDbXref	Genatlas:CCNO	Unspecified	cyclin O
ordo:235504	oboInOwl:hasDbXref	Genatlas:ETV4	Unspecified	ETS variant transcription factor 4
ordo:138376	oboInOwl:hasDbXref	Genatlas:PDGFRB	Unspecified	platelet derived growth factor receptor beta
ordo:500722	oboInOwl:hasDbXref	Genatlas:TMTC3	Unspecified	transmembrane O-mannosyltransferase targeting cadherins 3
ordo:500726	oboInOwl:hasDbXref	Genatlas:GLI1	Unspecified	GLI family zinc finger 1
ordo:138383	oboInOwl:hasDbXref	Genatlas:LHX4	Unspecified	LIM homeobox 4
ordo:138386	oboInOwl:hasDbXref	Genatlas:SOX3	Unspecified	SRY-box transcription factor 3
ordo:465808	oboInOwl:hasDbXref	Genatlas:RERE	Unspecified	arginine-glutamic acid dipeptide repeats
ordo:354069	oboInOwl:hasDbXref	Genatlas:C10orf11	Unspecified	leucine rich melanocyte differentiation associated
ordo:260545	oboInOwl:hasDbXref	Genatlas:ANKRD26	Unspecified	ankyrin repeat domain 26
ordo:356638	oboInOwl:hasDbXref	Genatlas:IGHV4-34	Unspecified	immunoglobulin heavy variable 4-34
ordo:260599	oboInOwl:hasDbXref	Genatlas:COLEC11	Unspecified	collectin subfamily member 11
ordo:260595	oboInOwl:hasDbXref	Genatlas:GLYCTK	Unspecified	glycerate kinase
ordo:260588	oboInOwl:hasDbXref	Genatlas:ORC1	Unspecified	origin recognition complex subunit 1
ordo:260583	oboInOwl:hasDbXref	Genatlas:MAP3K1	Unspecified	mitogen-activated protein kinase kinase kinase 1
ordo:487189	oboInOwl:hasDbXref	Genatlas:TAF13	Unspecified	TATA-box binding protein associated factor 13
ordo:320765	oboInOwl:hasDbXref	Genatlas:DHTKD1	Unspecified	dehydrogenase E1 and transketolase domain containing 1
ordo:320756	oboInOwl:hasDbXref	Genatlas:ANO3	Unspecified	anoctamin 3
ordo:320785	oboInOwl:hasDbXref	Genatlas:SLC5A7	Unspecified	solute carrier family 5 member 7
ordo:487198	oboInOwl:hasDbXref	Genatlas:ZNHIT3	Unspecified	zinc finger HIT-type containing 3
ordo:404800	oboInOwl:hasDbXref	Genatlas:ABCA5	Unspecified	ATP binding cassette subfamily A member 5
ordo:394916	oboInOwl:hasDbXref	Genatlas:ADD3	Unspecified	adducin 3
ordo:306416	oboInOwl:hasDbXref	Genatlas:PTPN2	Unspecified	protein tyrosine phosphatase non-receptor type 2
ordo:404809	oboInOwl:hasDbXref	Genatlas:CEP83	Unspecified	centrosomal protein 83
ordo:394920	oboInOwl:hasDbXref	Genatlas:C6orf125	Unspecified	ubiquinol-cytochrome c reductase complex assembly factor 2
