# curie_map:
#   Ensembl: https://www.ensembl.org/id/
#   Genatlas: Genatlas
#   HGNC: HGNC
#   IUPHAR: IUPHAR
#   MeSH: MeSH
#   MedDRA: http://purl.bioontology.org/ontology/MEDDRA/
#   OMIM: http://omim.org/entry/
#   Reactome: Reactome
#   SwissProt: http://purl.uniprot.org/uniprot/
#   UMLS: http://linkedlifedata.com/resource/umls/id/
#   oboInOwl: http://www.geneontology.org/formats/oboInOwl#
#   ordo: http://www.orpha.net/ORDO/Orphanet_
# license: https://github.com/mapping-commons/mapping-commons.github.io/blob/main/docs/original_license_applies.md
# mapping_date: '2022-02-23'
# mapping_set_id: http://w3id.org/mapping_commons/disease-mappings/onto-icd10
# mapping_tool: https://github.com/mapping-commons/sssom-py
subject_id	predicate_id	object_id	match_type	subject_label
ordo:403591	oboInOwl:hasDbXref	HGNC:18576	Unspecified	cyclin O
ordo:235504	oboInOwl:hasDbXref	HGNC:3493	Unspecified	ETS variant transcription factor 4
ordo:138376	oboInOwl:hasDbXref	HGNC:8804	Unspecified	platelet derived growth factor receptor beta
ordo:500722	oboInOwl:hasDbXref	HGNC:26899	Unspecified	transmembrane O-mannosyltransferase targeting cadherins 3
ordo:500726	oboInOwl:hasDbXref	HGNC:4317	Unspecified	GLI family zinc finger 1
ordo:138383	oboInOwl:hasDbXref	HGNC:21734	Unspecified	LIM homeobox 4
ordo:138386	oboInOwl:hasDbXref	HGNC:11199	Unspecified	SRY-box transcription factor 3
ordo:465808	oboInOwl:hasDbXref	HGNC:9965	Unspecified	arginine-glutamic acid dipeptide repeats
ordo:354069	oboInOwl:hasDbXref	HGNC:23405	Unspecified	leucine rich melanocyte differentiation associated
ordo:572371	oboInOwl:hasDbXref	HGNC:30550	Unspecified	membrane associated ring-CH-type finger 6
ordo:260545	oboInOwl:hasDbXref	HGNC:29186	Unspecified	ankyrin repeat domain 26
ordo:356638	oboInOwl:hasDbXref	HGNC:5650	Unspecified	immunoglobulin heavy variable 4-34
ordo:260599	oboInOwl:hasDbXref	HGNC:17213	Unspecified	collectin subfamily member 11
ordo:260595	oboInOwl:hasDbXref	HGNC:24247	Unspecified	glycerate kinase
ordo:260588	oboInOwl:hasDbXref	HGNC:8487	Unspecified	origin recognition complex subunit 1
ordo:260583	oboInOwl:hasDbXref	HGNC:6848	Unspecified	mitogen-activated protein kinase kinase kinase 1
