# curie_map:
#   Ensembl: https://www.ensembl.org/id/
#   Genatlas: Genatlas
#   HGNC: HGNC
#   IUPHAR: IUPHAR
#   MeSH: MeSH
#   MedDRA: http://purl.bioontology.org/ontology/MEDDRA/
#   OMIM: http://omim.org/entry/
#   Reactome: Reactome
#   SwissProt: http://purl.uniprot.org/uniprot/
#   UMLS: http://linkedlifedata.com/resource/umls/id/
#   oboInOwl: http://www.geneontology.org/formats/oboInOwl#
#   ordo: http://www.orpha.net/ORDO/Orphanet_
# license: https://github.com/mapping-commons/mapping-commons.github.io/blob/main/docs/original_license_applies.md
# mapping_date: '2022-02-23'
# mapping_set_id: http://w3id.org/mapping_commons/disease-mappings/onto-icd10
# mapping_tool: https://github.com/mapping-commons/sssom-py
subject_id	predicate_id	object_id	match_type	subject_label
ordo:138376	oboInOwl:hasDbXref	IUPHAR:1804	Unspecified	platelet derived growth factor receptor beta
ordo:260583	oboInOwl:hasDbXref	IUPHAR:2069	Unspecified	mitogen-activated protein kinase kinase kinase 1
ordo:572412	oboInOwl:hasDbXref	IUPHAR:447	Unspecified	glutamate ionotropic receptor AMPA type subunit 4
ordo:320785	oboInOwl:hasDbXref	IUPHAR:914	Unspecified	solute carrier family 5 member 7
ordo:404800	oboInOwl:hasDbXref	IUPHAR:760	Unspecified	ATP binding cassette subfamily A member 5
ordo:223447	oboInOwl:hasDbXref	IUPHAR:2393	Unspecified	plasminogen activator, urokinase
ordo:165966	oboInOwl:hasDbXref	IUPHAR:472	Unspecified	cholinergic receptor nicotinic beta 2 subunit
ordo:464482	oboInOwl:hasDbXref	IUPHAR:233	Unspecified	frizzled class receptor 5
ordo:165976	oboInOwl:hasDbXref	IUPHAR:1959	Unspecified	calcium/calmodulin dependent serine protein kinase
ordo:138361	oboInOwl:hasDbXref	IUPHAR:1779	Unspecified	NLR family pyrin domain containing 12
ordo:138366	oboInOwl:hasDbXref	IUPHAR:1807	Unspecified	fms related receptor tyrosine kinase 3
ordo:165929	oboInOwl:hasDbXref	IUPHAR:2870	Unspecified	prolyl endopeptidase like
ordo:509184	oboInOwl:hasDbXref	IUPHAR:2150	Unspecified	phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 alpha
ordo:209301	oboInOwl:hasDbXref	IUPHAR:496	Unspecified	transient receptor potential cation channel subfamily M member 4
ordo:392281	oboInOwl:hasDbXref	IUPHAR:2246	Unspecified	tyrosine kinase non receptor 2
ordo:500862	oboInOwl:hasDbXref	IUPHAR:1676	Unspecified	ADAM metallopeptidase with thrombospondin type 1 motif 3
ordo:426145	oboInOwl:hasDbXref	IUPHAR:141	Unspecified	G protein-coupled receptor 161
ordo:404762	oboInOwl:hasDbXref	IUPHAR:1278	Unspecified	adenylate cyclase 1
ordo:490687	oboInOwl:hasDbXref	IUPHAR:2343	Unspecified	cathepsin B
ordo:509234	oboInOwl:hasDbXref	IUPHAR:2189	Unspecified	receptor interacting serine/threonine kinase 1
ordo:509238	oboInOwl:hasDbXref	IUPHAR:1840	Unspecified	ROS proto-oncogene 1, receptor tyrosine kinase
ordo:139778	oboInOwl:hasDbXref	IUPHAR:282	Unspecified	melanocortin 1 receptor
ordo:426073	oboInOwl:hasDbXref	IUPHAR:2197	Unspecified	salt inducible kinase 1
ordo:490652	oboInOwl:hasDbXref	IUPHAR:1209	Unspecified	solute carrier family 45 member 1
ordo:223546	oboInOwl:hasDbXref	IUPHAR:3038	Unspecified	NIPA like domain containing 4
ordo:212892	oboInOwl:hasDbXref	IUPHAR:868	Unspecified	solute carrier family 1 member 3
ordo:212882	oboInOwl:hasDbXref	IUPHAR:1354	Unspecified	cytochrome P450 family 7 subfamily A member 1
ordo:139780	oboInOwl:hasDbXref	IUPHAR:2422	Unspecified	transmembrane serine protease 6
ordo:509298	oboInOwl:hasDbXref	IUPHAR:2256	Unspecified	transformation/transcription domain associated protein
ordo:438066	oboInOwl:hasDbXref	IUPHAR:2902	Unspecified	stimulator of interferon response cGAMP interactor 1
ordo:403364	oboInOwl:hasDbXref	IUPHAR:2888	Unspecified	ectonucleoside triphosphate diphosphohydrolase 1
ordo:454902	oboInOwl:hasDbXref	IUPHAR:276	Unspecified	sphingosine-1-phosphate receptor 2
ordo:442943	oboInOwl:hasDbXref	IUPHAR:384	Unspecified	potassium calcium-activated channel subfamily N member 4
ordo:367100	oboInOwl:hasDbXref	IUPHAR:102	Unspecified	G protein-coupled receptor 35
ordo:476274	oboInOwl:hasDbXref	IUPHAR:484	Unspecified	purinergic receptor P2X 7
ordo:477544	oboInOwl:hasDbXref	IUPHAR:2878	Unspecified	peptidyl arginine deiminase 3
ordo:403297	oboInOwl:hasDbXref	IUPHAR:617	Unspecified	nuclear receptor subfamily 2 group F member 1
ordo:200717	oboInOwl:hasDbXref	IUPHAR:1089	Unspecified	solute carrier family 25 member 38
ordo:535702	oboInOwl:hasDbXref	IUPHAR:2723	Unspecified	bromodomain PHD finger transcription factor
ordo:321640	oboInOwl:hasDbXref	IUPHAR:2571	Unspecified	solute carrier family 52 member 1
ordo:306110	oboInOwl:hasDbXref	IUPHAR:1628	Unspecified	matrix metallopeptidase 1
ordo:306122	oboInOwl:hasDbXref	IUPHAR:2504	Unspecified	phosphoinositide-3-kinase regulatory subunit 2
ordo:464175	oboInOwl:hasDbXref	IUPHAR:1509	Unspecified	citron rho-interacting serine/threonine kinase
ordo:394615	oboInOwl:hasDbXref	IUPHAR:1461	Unspecified	synaptojanin 1
ordo:165845	oboInOwl:hasDbXref	IUPHAR:1997	Unspecified	casein kinase 1 delta
ordo:140560	oboInOwl:hasDbXref	IUPHAR:758	Unspecified	ATP binding cassette subfamily A member 3
ordo:367084	oboInOwl:hasDbXref	IUPHAR:1949	Unspecified	BUB1 mitotic checkpoint serine/threonine kinase
ordo:395886	oboInOwl:hasDbXref	IUPHAR:26	Unspecified	adrenoceptor alpha 2B
ordo:178819	oboInOwl:hasDbXref	IUPHAR:362	Unspecified	tachykinin receptor 3
ordo:394596	oboInOwl:hasDbXref	IUPHAR:485	Unspecified	transient receptor potential cation channel subfamily A member 1
ordo:356212	oboInOwl:hasDbXref	IUPHAR:1054	Unspecified	solute carrier family 25 member 12
ordo:371844	oboInOwl:hasDbXref	IUPHAR:1049	Unspecified	solute carrier family 24 member 5
ordo:356203	oboInOwl:hasDbXref	IUPHAR:2549	Unspecified	retinol binding protein 4
ordo:321573	oboInOwl:hasDbXref	IUPHAR:1335	Unspecified	cytochrome P450 family 2 subfamily U member 1
ordo:247147	oboInOwl:hasDbXref	IUPHAR:2760	Unspecified	programmed cell death 1
ordo:247145	oboInOwl:hasDbXref	IUPHAR:2885	Unspecified	isocitrate dehydrogenase (NADP(+)) 2
ordo:248481	oboInOwl:hasDbXref	IUPHAR:2618	Unspecified	histone deacetylase 6
ordo:235181	oboInOwl:hasDbXref	IUPHAR:437	Unspecified	potassium inwardly rectifying channel subfamily J member 5
ordo:235193	oboInOwl:hasDbXref	IUPHAR:2628	Unspecified	membrane spanning 4-domains A1
ordo:298784	oboInOwl:hasDbXref	IUPHAR:1067	Unspecified	uncoupling protein 2
ordo:284155	oboInOwl:hasDbXref	IUPHAR:1709	Unspecified	interleukin 11 receptor subunit alpha
ordo:284125	oboInOwl:hasDbXref	IUPHAR:1319	Unspecified	cytochrome P450 family 1 subfamily A member 2
ordo:569267	oboInOwl:hasDbXref	IUPHAR:495	Unspecified	transient receptor potential cation channel subfamily M member 3
ordo:117825	oboInOwl:hasDbXref	IUPHAR:2857	Unspecified	phosphoinositide kinase, FYVE-type zinc finger containing
ordo:117822	oboInOwl:hasDbXref	IUPHAR:2161	Unspecified	PTEN induced kinase 1
ordo:117820	oboInOwl:hasDbXref	IUPHAR:2153	Unspecified	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha
