# curie_map:
#   Ensembl: https://www.ensembl.org/id/
#   Genatlas: Genatlas
#   HGNC: HGNC
#   IUPHAR: IUPHAR
#   MeSH: MeSH
#   MedDRA: http://purl.bioontology.org/ontology/MEDDRA/
#   OMIM: http://omim.org/entry/
#   Reactome: Reactome
#   SwissProt: http://purl.uniprot.org/uniprot/
#   UMLS: http://linkedlifedata.com/resource/umls/id/
#   oboInOwl: http://www.geneontology.org/formats/oboInOwl#
#   ordo: http://www.orpha.net/ORDO/Orphanet_
# license: https://github.com/mapping-commons/mapping-commons.github.io/blob/main/docs/original_license_applies.md
# mapping_date: '2022-02-23'
# mapping_set_id: http://w3id.org/mapping_commons/disease-mappings/onto-icd10
# mapping_tool: https://github.com/mapping-commons/sssom-py
subject_id	predicate_id	object_id	match_type	subject_label
ordo:124	oboInOwl:hasDbXref	MeSH:D029503	Unspecified	Blackfan-Diamond anemia
ordo:123	oboInOwl:hasDbXref	MeSH:C537633	Unspecified	Björnstad syndrome
ordo:125	oboInOwl:hasDbXref	MeSH:D001816	Unspecified	Bloom syndrome
ordo:127	oboInOwl:hasDbXref	MeSH:C536575	Unspecified	Borjeson-Forssman-Lehmann syndrome
ordo:129	oboInOwl:hasDbXref	MeSH:C531609	Unspecified	Pseudopelade of Brocq
ordo:2565	oboInOwl:hasDbXref	MeSH:C535914	Unspecified	Mononen-Karnes-Senac syndrome
ordo:1231	oboInOwl:hasDbXref	MeSH:C537908	Unspecified	Barber-Say syndrome
ordo:2561	oboInOwl:hasDbXref	MeSH:C538170	Unspecified	Pyramidal molars-abnormal upper lip syndrome
ordo:1237	oboInOwl:hasDbXref	MeSH:C537668	Unspecified	Beemer-Ertbruggen syndrome
ordo:122	oboInOwl:hasDbXref	MeSH:D058249	Unspecified	Birt-Hogg-Dubé syndrome
ordo:113	oboInOwl:hasDbXref	MeSH:C537663	Unspecified	Bazex-Dupré-Christol syndrome
ordo:112	oboInOwl:hasDbXref	MeSH:D001477	Unspecified	Bartter syndrome
ordo:115	oboInOwl:hasDbXref	MeSH:C536211	Unspecified	Congenital contractural arachnodactyly
ordo:114	oboInOwl:hasDbXref	MeSH:C538271	Unspecified	Auriculoosteodysplasia
ordo:1240	oboInOwl:hasDbXref	MeSH:C537350	Unspecified	Metaphyseal acroscyphodysplasia
ordo:117	oboInOwl:hasDbXref	MeSH:D001528	Unspecified	Behçet disease
ordo:116	oboInOwl:hasDbXref	MeSH:D001506	Unspecified	Beckwith-Wiedemann syndrome
ordo:118	oboInOwl:hasDbXref	MeSH:D044905	Unspecified	Beta-mannosidosis
ordo:2576	oboInOwl:hasDbXref	MeSH:C538604	Unspecified	Mulibrey nanism
ordo:2576	oboInOwl:hasDbXref	MeSH:D050336	Unspecified	Mulibrey nanism
ordo:2579	oboInOwl:hasDbXref	MeSH:C538193	Unspecified	Muscular atrophy-ataxia-retinitis pigmentosa-diabetes mellitus syndrome
ordo:2573	oboInOwl:hasDbXref	MeSH:D009072	Unspecified	Moyamoya disease
ordo:2573	oboInOwl:hasDbXref	MeSH:C536991	Unspecified	Moyamoya disease
ordo:1247	oboInOwl:hasDbXref	MeSH:D012552	Unspecified	Schistosomiasis
ordo:111	oboInOwl:hasDbXref	MeSH:D056889	Unspecified	Barth syndrome
ordo:110	oboInOwl:hasDbXref	MeSH:D020788	Unspecified	Bardet-Biedl syndrome
ordo:148	oboInOwl:hasDbXref	MeSH:D009100	Unspecified	Multiple carboxylase deficiency
ordo:2582	oboInOwl:hasDbXref	MeSH:D016603	Unspecified	Myalgia-eosinophilia syndrome associated with tryptophan
ordo:140	oboInOwl:hasDbXref	MeSH:D055036	Unspecified	Campomelic dysplasia
ordo:142	oboInOwl:hasDbXref	MeSH:C536910	Unspecified	Anaplastic thyroid carcinoma
ordo:1259	oboInOwl:hasDbXref	MeSH:C536236	Unspecified	Blepharoptosis-myopia-ectopia lentis syndrome
ordo:2583	oboInOwl:hasDbXref	MeSH:D008271	Unspecified	Mycetoma
ordo:141	oboInOwl:hasDbXref	MeSH:D017825	Unspecified	Canavan disease
ordo:144	oboInOwl:hasDbXref	MeSH:D003123	Unspecified	Lynch syndrome
ordo:135	oboInOwl:hasDbXref	MeSH:C537420	Unspecified	CACH syndrome
ordo:136	oboInOwl:hasDbXref	MeSH:D046589	Unspecified	Cerebral autosomal dominant arteriopathy-subcortical infarcts-leukoencephalopathy
ordo:138	oboInOwl:hasDbXref	MeSH:D058747	Unspecified	CHARGE syndrome
ordo:2598	oboInOwl:hasDbXref	MeSH:C536101	Unspecified	Mitochondrial myopathy and sideroblastic anemia
ordo:1263	oboInOwl:hasDbXref	MeSH:C536573	Unspecified	Boomerang dysplasia
ordo:131	oboInOwl:hasDbXref	MeSH:D006502	Unspecified	Budd-Chiari syndrome
ordo:130	oboInOwl:hasDbXref	MeSH:D053840	Unspecified	Brugada syndrome
ordo:133	oboInOwl:hasDbXref	MeSH:D001607	Unspecified	Chronic beryllium disease
ordo:2597	oboInOwl:hasDbXref	MeSH:C537476	Unspecified	Mitochondrial myopathy-lactic acidosis-deafness syndrome
ordo:1267	oboInOwl:hasDbXref	MeSH:D001906	Unspecified	Botulism
ordo:132	oboInOwl:hasDbXref	MeSH:C537417	Unspecified	Butyrylcholinesterase deficiency
ordo:199323	oboInOwl:hasDbXref	MeSH:D009877	Unspecified	Endophthalmitis
ordo:2522	oboInOwl:hasDbXref	MeSH:C537325	Unspecified	Microcephaly-cervical spine fusion anomalies syndrome
ordo:2524	oboInOwl:hasDbXref	MeSH:C548070	Unspecified	Pontocerebellar hypoplasia type 2
ordo:2526	oboInOwl:hasDbXref	MeSH:C537711	Unspecified	Microcephaly-lymphedema-chorioretinopathy syndrome
ordo:2528	oboInOwl:hasDbXref	MeSH:C537539	Unspecified	Microcephaly-microcornea syndrome, Seemanova type
ordo:2528	oboInOwl:hasDbXref	MeSH:C537536	Unspecified	Microcephaly-microcornea syndrome, Seemanova type
ordo:1200	oboInOwl:hasDbXref	MeSH:C537411	Unspecified	Burn-McKeown syndrome
ordo:1203	oboInOwl:hasDbXref	MeSH:C535720	Unspecified	Duodenal atresia
ordo:1201	oboInOwl:hasDbXref	MeSH:C538260	Unspecified	Atresia of small intestine
ordo:2536	oboInOwl:hasDbXref	MeSH:C537552	Unspecified	Microcornea-glaucoma-absent frontal sinuses syndrome
ordo:2538	oboInOwl:hasDbXref	MeSH:C537554	Unspecified	Microgastria-limb reduction defect syndrome
ordo:1209	oboInOwl:hasDbXref	MeSH:D018785	Unspecified	Tricuspid atresia
ordo:102	oboInOwl:hasDbXref	MeSH:D019578	Unspecified	Multiple system atrophy
ordo:108	oboInOwl:hasDbXref	MeSH:D001404	Unspecified	Babesiosis
ordo:107	oboInOwl:hasDbXref	MeSH:D019280	Unspecified	BOR syndrome
ordo:1215	oboInOwl:hasDbXref	MeSH:C535351	Unspecified	Autosomal dominant optic atrophy plus syndrome
ordo:100	oboInOwl:hasDbXref	MeSH:D001260	Unspecified	Ataxia-telangiectasia
ordo:1219	oboInOwl:hasDbXref	MeSH:D000168	Unspecified	Aurocephalosyndactyly
ordo:2554	oboInOwl:hasDbXref	MeSH:C538012	Unspecified	Ear-patella-short stature syndrome
ordo:1221	oboInOwl:hasDbXref	MeSH:C535921	Unspecified	Cheilitis glandularis
ordo:1226	oboInOwl:hasDbXref	MeSH:C537901	Unspecified	Bamforth-Lazarus syndrome
ordo:1225	oboInOwl:hasDbXref	MeSH:C536788	Unspecified	Baller-Gerold syndrome
ordo:2552	oboInOwl:hasDbXref	MeSH:D016881	Unspecified	Microsporidiosis
ordo:1223	oboInOwl:hasDbXref	MeSH:C531629	Unspecified	Balantidiasis
ordo:1223	oboInOwl:hasDbXref	MeSH:D001447	Unspecified	Balantidiasis
ordo:1227	oboInOwl:hasDbXref	MeSH:C537902	Unspecified	Bangstad syndrome
ordo:193	oboInOwl:hasDbXref	MeSH:C536438	Unspecified	Cohen syndrome
ordo:192	oboInOwl:hasDbXref	MeSH:D038921	Unspecified	Coffin-Lowry syndrome
ordo:195	oboInOwl:hasDbXref	MeSH:C535918	Unspecified	Cat-eye syndrome
ordo:199	oboInOwl:hasDbXref	MeSH:D003635	Unspecified	Cornelia de Lange syndrome
ordo:198	oboInOwl:hasDbXref	MeSH:C537860	Unspecified	Occipital horn syndrome
ordo:168	oboInOwl:hasDbXref	MeSH:D058247	Unspecified	Loose anagen syndrome
ordo:167	oboInOwl:hasDbXref	MeSH:D002609	Unspecified	Chédiak-Higashi syndrome
ordo:169	oboInOwl:hasDbXref	MeSH:C537187	Unspecified	Ringed hair disease
ordo:1272	oboInOwl:hasDbXref	MeSH:C537933	Unspecified	Aymé-Gripp syndrome
ordo:1270	oboInOwl:hasDbXref	MeSH:C537081	Unspecified	Bowen-Conradi syndrome
ordo:160	oboInOwl:hasDbXref	MeSH:D005871	Unspecified	Castleman disease
ordo:160	oboInOwl:hasDbXref	MeSH:C536362	Unspecified	Castleman disease
ordo:163	oboInOwl:hasDbXref	MeSH:C538137	Unspecified	Hereditary hyperferritinemia-cataract syndrome
ordo:166	oboInOwl:hasDbXref	MeSH:D002607	Unspecified	Charcot-Marie-Tooth disease/Hereditary motor and sensory neuropathy
ordo:165	oboInOwl:hasDbXref	MeSH:C536560	Unspecified	Neutral lipid storage disease
ordo:99915	oboInOwl:hasDbXref	MeSH:D006106	Unspecified	Maligant granulosa cell tumor of the ovary
ordo:157	oboInOwl:hasDbXref	MeSH:C535589	Unspecified	Carnitine palmitoyltransferase II deficiency
ordo:99900	oboInOwl:hasDbXref	MeSH:C535690	Unspecified	Long chain acyl-CoA dehydrogenase deficiency
ordo:150	oboInOwl:hasDbXref	MeSH:C538339	Unspecified	Nasopharyngeal carcinoma
ordo:99906	oboInOwl:hasDbXref	MeSH:D005203	Unspecified	Farmer's lung disease
ordo:99908	oboInOwl:hasDbXref	MeSH:D001716	Unspecified	Pigeon-breeder lung disease
ordo:1293	oboInOwl:hasDbXref	MeSH:C537098	Unspecified	Brachyolmia
ordo:1292	oboInOwl:hasDbXref	MeSH:C536242	Unspecified	Brachymorphism-onychodysplasia-dysphalangism syndrome
ordo:182	oboInOwl:hasDbXref	MeSH:D002862	Unspecified	Chromomycosis
ordo:181	oboInOwl:hasDbXref	MeSH:D053358	Unspecified	X-linked hypohidrotic ectodermal dysplasia
ordo:184	oboInOwl:hasDbXref	MeSH:D002636	Unspecified	Cherubism
ordo:183	oboInOwl:hasDbXref	MeSH:C531653	Unspecified	Eosinophilic granulomatosis with polyangiitis
ordo:183	oboInOwl:hasDbXref	MeSH:D015267	Unspecified	Eosinophilic granulomatosis with polyangiitis
ordo:1296	oboInOwl:hasDbXref	MeSH:C538396	Unspecified	Lambert syndrome
ordo:185	oboInOwl:hasDbXref	MeSH:D012587	Unspecified	Scimitar syndrome
ordo:188	oboInOwl:hasDbXref	MeSH:D019559	Unspecified	Systemic capillary leak syndrome
ordo:187	oboInOwl:hasDbXref	MeSH:D020159	Unspecified	Citrullinemia
ordo:191	oboInOwl:hasDbXref	MeSH:D003057	Unspecified	Cockayne syndrome
ordo:190	oboInOwl:hasDbXref	MeSH:D058456	Unspecified	Coats disease
ordo:179	oboInOwl:hasDbXref	MeSH:C537630	Unspecified	Birdshot chorioretinopathy
ordo:178	oboInOwl:hasDbXref	MeSH:D002817	Unspecified	Chordoma
ordo:171	oboInOwl:hasDbXref	MeSH:C536419	Unspecified	Primary sclerosing cholangitis
ordo:170	oboInOwl:hasDbXref	MeSH:C536745	Unspecified	Woolly hair
ordo:173	oboInOwl:hasDbXref	MeSH:D002771	Unspecified	Cholera
ordo:175	oboInOwl:hasDbXref	MeSH:C535916	Unspecified	Cartilage-hair hypoplasia
ordo:174	oboInOwl:hasDbXref	MeSH:C537352	Unspecified	Metaphyseal chondrodysplasia, Schmid type
ordo:177	oboInOwl:hasDbXref	MeSH:D018902	Unspecified	Rhizomelic chondrodysplasia punctata
ordo:180	oboInOwl:hasDbXref	MeSH:D015794	Unspecified	Choroideremia
ordo:99955	oboInOwl:hasDbXref	MeSH:C535420	Unspecified	Charcot-Marie-Tooth disease type 4B1
ordo:63999	oboInOwl:hasDbXref	MeSH:C536136	Unspecified	IgG4-related mediastinitis
ordo:99951	oboInOwl:hasDbXref	MeSH:C535301	Unspecified	Charcot-Marie-Tooth disease type 4E
ordo:99950	oboInOwl:hasDbXref	MeSH:C535716	Unspecified	Charcot-Marie-Tooth disease type 4D
ordo:99956	oboInOwl:hasDbXref	MeSH:C535421	Unspecified	Charcot-Marie-Tooth disease type 4B2
ordo:99949	oboInOwl:hasDbXref	MeSH:C535423	Unspecified	Charcot-Marie-Tooth disease type 4C
ordo:99948	oboInOwl:hasDbXref	MeSH:C535419	Unspecified	Charcot-Marie-Tooth disease type 4A
ordo:99931	oboInOwl:hasDbXref	MeSH:C536281	Unspecified	Idiopathic pulmonary hemosiderosis
ordo:36397	oboInOwl:hasDbXref	MeSH:D000274	Unspecified	Adiposis dolorosa
ordo:47044	oboInOwl:hasDbXref	MeSH:C538614	Unspecified	Hereditary papillary renal cell carcinoma
ordo:99921	oboInOwl:hasDbXref	MeSH:D006086	Unspecified	Chronic graft versus host disease
ordo:99928	oboInOwl:hasDbXref	MeSH:D018245	Unspecified	Placental site trophoblastic tumor
ordo:99927	oboInOwl:hasDbXref	MeSH:D006828	Unspecified	Hydatidiform mole
ordo:60014	oboInOwl:hasDbXref	MeSH:D001129	Unspecified	Argyria
ordo:97330	oboInOwl:hasDbXref	MeSH:D013901	Unspecified	Thoracic outlet syndrome
ordo:60041	oboInOwl:hasDbXref	MeSH:C535758	Unspecified	Congenital heart block
