# curie_map:
#   Ensembl: https://www.ensembl.org/id/
#   Genatlas: Genatlas
#   HGNC: HGNC
#   IUPHAR: IUPHAR
#   MeSH: MeSH
#   MedDRA: http://purl.bioontology.org/ontology/MEDDRA/
#   OMIM: http://omim.org/entry/
#   Reactome: Reactome
#   SwissProt: http://purl.uniprot.org/uniprot/
#   UMLS: http://linkedlifedata.com/resource/umls/id/
#   oboInOwl: http://www.geneontology.org/formats/oboInOwl#
#   ordo: http://www.orpha.net/ORDO/Orphanet_
# license: https://github.com/mapping-commons/mapping-commons.github.io/blob/main/docs/original_license_applies.md
# mapping_date: '2022-02-23'
# mapping_set_id: http://w3id.org/mapping_commons/disease-mappings/onto-icd10
# mapping_tool: https://github.com/mapping-commons/sssom-py
subject_id	predicate_id	object_id	match_type	subject_label
ordo:124	oboInOwl:hasDbXref	MedDRA:10062989	Unspecified	Blackfan-Diamond anemia
ordo:128	oboInOwl:hasDbXref	MedDRA:10013029	Unspecified	Diphyllobothriasis
ordo:122	oboInOwl:hasDbXref	MedDRA:10067736	Unspecified	Birt-Hogg-Dubé syndrome
ordo:112	oboInOwl:hasDbXref	MedDRA:10050839	Unspecified	Bartter syndrome
ordo:199306	oboInOwl:hasDbXref	MedDRA:10009260	Unspecified	Cleft lip/palate
ordo:117	oboInOwl:hasDbXref	MedDRA:10004213	Unspecified	Behçet disease
ordo:116	oboInOwl:hasDbXref	MedDRA:10050344	Unspecified	Beckwith-Wiedemann syndrome
ordo:2573	oboInOwl:hasDbXref	MedDRA:10028047	Unspecified	Moyamoya disease
ordo:1247	oboInOwl:hasDbXref	MedDRA:10039603	Unspecified	Schistosomiasis
ordo:110	oboInOwl:hasDbXref	MedDRA:10056715	Unspecified	Bardet-Biedl syndrome
ordo:199302	oboInOwl:hasDbXref	MedDRA:10009259	Unspecified	Isolated cleft lip
ordo:148	oboInOwl:hasDbXref	MedDRA:10028176	Unspecified	Multiple carboxylase deficiency
ordo:147	oboInOwl:hasDbXref	MedDRA:10058297	Unspecified	Carbamoyl-phosphate synthetase 1 deficiency
ordo:2582	oboInOwl:hasDbXref	MedDRA:10014952	Unspecified	Myalgia-eosinophilia syndrome associated with tryptophan
ordo:142	oboInOwl:hasDbXref	MedDRA:10002240	Unspecified	Anaplastic thyroid carcinoma
