# curie_map:
#   Ensembl: https://www.ensembl.org/id/
#   Genatlas: Genatlas
#   HGNC: HGNC
#   IUPHAR: IUPHAR
#   MeSH: MeSH
#   MedDRA: http://purl.bioontology.org/ontology/MEDDRA/
#   OMIM: http://omim.org/entry/
#   Reactome: Reactome
#   SwissProt: http://purl.uniprot.org/uniprot/
#   UMLS: http://linkedlifedata.com/resource/umls/id/
#   oboInOwl: http://www.geneontology.org/formats/oboInOwl#
#   ordo: http://www.orpha.net/ORDO/Orphanet_
# license: https://github.com/mapping-commons/mapping-commons.github.io/blob/main/docs/original_license_applies.md
# mapping_date: '2022-02-23'
# mapping_set_id: http://w3id.org/mapping_commons/disease-mappings/onto-icd10
# mapping_tool: https://github.com/mapping-commons/sssom-py
subject_id	predicate_id	object_id	match_type	subject_label
ordo:403591	oboInOwl:hasDbXref	Reactome:P22674	Unspecified	cyclin O
ordo:235504	oboInOwl:hasDbXref	Reactome:P43268	Unspecified	ETS variant transcription factor 4
ordo:138376	oboInOwl:hasDbXref	Reactome:P09619	Unspecified	platelet derived growth factor receptor beta
ordo:500722	oboInOwl:hasDbXref	Reactome:Q6ZXV5	Unspecified	transmembrane O-mannosyltransferase targeting cadherins 3
ordo:500726	oboInOwl:hasDbXref	Reactome:P08151	Unspecified	GLI family zinc finger 1
ordo:138383	oboInOwl:hasDbXref	Reactome:Q969G2	Unspecified	LIM homeobox 4
ordo:138386	oboInOwl:hasDbXref	Reactome:P41225	Unspecified	SRY-box transcription factor 3
ordo:465808	oboInOwl:hasDbXref	Reactome:Q9P2R6	Unspecified	arginine-glutamic acid dipeptide repeats
ordo:572371	oboInOwl:hasDbXref	Reactome:O60337	Unspecified	membrane associated ring-CH-type finger 6
ordo:356638	oboInOwl:hasDbXref	Reactome:P06331	Unspecified	immunoglobulin heavy variable 4-34
ordo:260599	oboInOwl:hasDbXref	Reactome:Q9BWP8	Unspecified	collectin subfamily member 11
ordo:260595	oboInOwl:hasDbXref	Reactome:Q8IVS8	Unspecified	glycerate kinase
ordo:260588	oboInOwl:hasDbXref	Reactome:Q13415	Unspecified	origin recognition complex subunit 1
ordo:260583	oboInOwl:hasDbXref	Reactome:Q13233	Unspecified	mitogen-activated protein kinase kinase kinase 1
ordo:487189	oboInOwl:hasDbXref	Reactome:R-HSA-65557	Unspecified	TATA-box binding protein associated factor 13
ordo:320765	oboInOwl:hasDbXref	Reactome:Q96HY7	Unspecified	dehydrogenase E1 and transketolase domain containing 1
ordo:320756	oboInOwl:hasDbXref	Reactome:Q9BYT9	Unspecified	anoctamin 3
ordo:572412	oboInOwl:hasDbXref	Reactome:P48058	Unspecified	glutamate ionotropic receptor AMPA type subunit 4
ordo:559424	oboInOwl:hasDbXref	Reactome:P40123	Unspecified	cyclase associated actin cytoskeleton regulatory protein 2
ordo:320785	oboInOwl:hasDbXref	Reactome:Q9GZV3	Unspecified	solute carrier family 5 member 7
ordo:559430	oboInOwl:hasDbXref	Reactome:P35251	Unspecified	replication factor C subunit 1
ordo:404800	oboInOwl:hasDbXref	Reactome:Q8WWZ7	Unspecified	ATP binding cassette subfamily A member 5
ordo:394916	oboInOwl:hasDbXref	Reactome:Q9UEY8	Unspecified	adducin 3
ordo:306416	oboInOwl:hasDbXref	Reactome:P17706	Unspecified	protein tyrosine phosphatase non-receptor type 2
ordo:404809	oboInOwl:hasDbXref	Reactome:Q9Y592	Unspecified	centrosomal protein 83
ordo:394920	oboInOwl:hasDbXref	Reactome:Q9BRT2	Unspecified	ubiquinol-cytochrome c reductase complex assembly factor 2
ordo:295279	oboInOwl:hasDbXref	Reactome:Q66GS9	Unspecified	centrosomal protein 135
ordo:223447	oboInOwl:hasDbXref	Reactome:P00749	Unspecified	plasminogen activator, urokinase
ordo:165966	oboInOwl:hasDbXref	Reactome:P17787	Unspecified	cholinergic receptor nicotinic beta 2 subunit
ordo:464482	oboInOwl:hasDbXref	Reactome:Q13467	Unspecified	frizzled class receptor 5
ordo:165976	oboInOwl:hasDbXref	Reactome:O14936	Unspecified	calcium/calmodulin dependent serine protein kinase
ordo:165904	oboInOwl:hasDbXref	Reactome:P29279	Unspecified	cellular communication network factor 2
ordo:392330	oboInOwl:hasDbXref	Reactome:Q96C12	Unspecified	armadillo repeat containing 5
ordo:559417	oboInOwl:hasDbXref	Reactome:Q9NVE7	Unspecified	pantothenate kinase 4 (inactive)
ordo:559410	oboInOwl:hasDbXref	Reactome:O75367	Unspecified	macroH2A.1 histone
ordo:138366	oboInOwl:hasDbXref	Reactome:P36888	Unspecified	fms related receptor tyrosine kinase 3
ordo:165923	oboInOwl:hasDbXref	Reactome:Q14108	Unspecified	scavenger receptor class B member 2
ordo:165921	oboInOwl:hasDbXref	Reactome:P22307	Unspecified	sterol carrier protein 2
ordo:391022	oboInOwl:hasDbXref	Reactome:P22891	Unspecified	protein Z, vitamin K dependent plasma glycoprotein
ordo:209325	oboInOwl:hasDbXref	Reactome:Q70SY1	Unspecified	cAMP responsive element binding protein 3 like 2
ordo:200995	oboInOwl:hasDbXref	Reactome:P46527	Unspecified	cyclin dependent kinase inhibitor 1B
ordo:209329	oboInOwl:hasDbXref	Reactome:Q96BA8	Unspecified	cAMP responsive element binding protein 3 like 1
