# curie_map:
#   Ensembl: https://www.ensembl.org/id/
#   Genatlas: Genatlas
#   HGNC: HGNC
#   IUPHAR: IUPHAR
#   MeSH: MeSH
#   MedDRA: http://purl.bioontology.org/ontology/MEDDRA/
#   OMIM: http://omim.org/entry/
#   Reactome: Reactome
#   SwissProt: http://purl.uniprot.org/uniprot/
#   UMLS: http://linkedlifedata.com/resource/umls/id/
#   oboInOwl: http://www.geneontology.org/formats/oboInOwl#
#   ordo: http://www.orpha.net/ORDO/Orphanet_
# license: https://github.com/mapping-commons/mapping-commons.github.io/blob/main/docs/original_license_applies.md
# mapping_date: '2022-02-23'
# mapping_set_id: http://w3id.org/mapping_commons/disease-mappings/onto-icd10
# mapping_tool: https://github.com/mapping-commons/sssom-py
subject_id	predicate_id	object_id	match_type	subject_label
ordo:403591	oboInOwl:hasDbXref	SwissProt:P22674	Unspecified	cyclin O
ordo:235504	oboInOwl:hasDbXref	SwissProt:P43268	Unspecified	ETS variant transcription factor 4
ordo:138376	oboInOwl:hasDbXref	SwissProt:P09619	Unspecified	platelet derived growth factor receptor beta
ordo:500722	oboInOwl:hasDbXref	SwissProt:Q6ZXV5	Unspecified	transmembrane O-mannosyltransferase targeting cadherins 3
ordo:500726	oboInOwl:hasDbXref	SwissProt:P08151	Unspecified	GLI family zinc finger 1
ordo:138383	oboInOwl:hasDbXref	SwissProt:Q969G2	Unspecified	LIM homeobox 4
ordo:138386	oboInOwl:hasDbXref	SwissProt:P41225	Unspecified	SRY-box transcription factor 3
ordo:465808	oboInOwl:hasDbXref	SwissProt:Q9P2R6	Unspecified	arginine-glutamic acid dipeptide repeats
ordo:354069	oboInOwl:hasDbXref	SwissProt:Q9H2I8	Unspecified	leucine rich melanocyte differentiation associated
ordo:572371	oboInOwl:hasDbXref	SwissProt:O60337	Unspecified	membrane associated ring-CH-type finger 6
ordo:260545	oboInOwl:hasDbXref	SwissProt:Q9UPS8	Unspecified	ankyrin repeat domain 26
ordo:356638	oboInOwl:hasDbXref	SwissProt:P06331	Unspecified	immunoglobulin heavy variable 4-34
ordo:260599	oboInOwl:hasDbXref	SwissProt:Q9BWP8	Unspecified	collectin subfamily member 11
ordo:260595	oboInOwl:hasDbXref	SwissProt:Q8IVS8	Unspecified	glycerate kinase
ordo:260588	oboInOwl:hasDbXref	SwissProt:Q13415	Unspecified	origin recognition complex subunit 1
ordo:260583	oboInOwl:hasDbXref	SwissProt:Q13233	Unspecified	mitogen-activated protein kinase kinase kinase 1
ordo:487189	oboInOwl:hasDbXref	SwissProt:Q15543	Unspecified	TATA-box binding protein associated factor 13
ordo:320765	oboInOwl:hasDbXref	SwissProt:Q96HY7	Unspecified	dehydrogenase E1 and transketolase domain containing 1
ordo:320756	oboInOwl:hasDbXref	SwissProt:Q9BYT9	Unspecified	anoctamin 3
ordo:572412	oboInOwl:hasDbXref	SwissProt:P48058	Unspecified	glutamate ionotropic receptor AMPA type subunit 4
ordo:559424	oboInOwl:hasDbXref	SwissProt:P40123	Unspecified	cyclase associated actin cytoskeleton regulatory protein 2
ordo:320785	oboInOwl:hasDbXref	SwissProt:Q9GZV3	Unspecified	solute carrier family 5 member 7
ordo:559430	oboInOwl:hasDbXref	SwissProt:P35251	Unspecified	replication factor C subunit 1
ordo:487198	oboInOwl:hasDbXref	SwissProt:Q15649	Unspecified	zinc finger HIT-type containing 3
ordo:404800	oboInOwl:hasDbXref	SwissProt:Q8WWZ7	Unspecified	ATP binding cassette subfamily A member 5
ordo:394916	oboInOwl:hasDbXref	SwissProt:Q9UEY8	Unspecified	adducin 3
ordo:306416	oboInOwl:hasDbXref	SwissProt:P17706	Unspecified	protein tyrosine phosphatase non-receptor type 2
ordo:404809	oboInOwl:hasDbXref	SwissProt:Q9Y592	Unspecified	centrosomal protein 83
ordo:394920	oboInOwl:hasDbXref	SwissProt:Q9BRT2	Unspecified	ubiquinol-cytochrome c reductase complex assembly factor 2
ordo:295279	oboInOwl:hasDbXref	SwissProt:Q66GS9	Unspecified	centrosomal protein 135
