# curie_map:
#   Ensembl: https://www.ensembl.org/id/
#   Genatlas: Genatlas
#   HGNC: HGNC
#   IUPHAR: IUPHAR
#   MeSH: MeSH
#   MedDRA: http://purl.bioontology.org/ontology/MEDDRA/
#   OMIM: http://omim.org/entry/
#   Reactome: Reactome
#   SwissProt: http://purl.uniprot.org/uniprot/
#   UMLS: http://linkedlifedata.com/resource/umls/id/
#   oboInOwl: http://www.geneontology.org/formats/oboInOwl#
#   ordo: http://www.orpha.net/ORDO/Orphanet_
# license: https://github.com/mapping-commons/mapping-commons.github.io/blob/main/docs/original_license_applies.md
# mapping_date: '2022-02-23'
# mapping_set_id: http://w3id.org/mapping_commons/disease-mappings/onto-icd10
# mapping_tool: https://github.com/mapping-commons/sssom-py
subject_id	predicate_id	object_id	match_type	subject_label
ordo:124	oboInOwl:hasDbXref	UMLS:C2931850	Unspecified	Blackfan-Diamond anemia
ordo:124	oboInOwl:hasDbXref	UMLS:C1260899	Unspecified	Blackfan-Diamond anemia
ordo:123	oboInOwl:hasDbXref	UMLS:C0266006	Unspecified	Björnstad syndrome
ordo:126	oboInOwl:hasDbXref	UMLS:C0220663	Unspecified	Blepharophimosis-ptosis-epicanthus inversus syndrome
ordo:2560	oboInOwl:hasDbXref	UMLS:C2931024	Unspecified	Moebius syndrome-axonal neuropathy-hypogonadotropic hypogonadism syndrome
ordo:125	oboInOwl:hasDbXref	UMLS:C0005859	Unspecified	Bloom syndrome
ordo:199318	oboInOwl:hasDbXref	UMLS:C2677613	Unspecified	15q13.3 microdeletion syndrome
ordo:128	oboInOwl:hasDbXref	UMLS:C0012561	Unspecified	Diphyllobothriasis
ordo:128	oboInOwl:hasDbXref	UMLS:C0277032	Unspecified	Diphyllobothriasis
ordo:127	oboInOwl:hasDbXref	UMLS:C0265339	Unspecified	Borjeson-Forssman-Lehmann syndrome
ordo:129	oboInOwl:hasDbXref	UMLS:C0086873	Unspecified	Pseudopelade of Brocq
ordo:2565	oboInOwl:hasDbXref	UMLS:C2931060	Unspecified	Mononen-Karnes-Senac syndrome
ordo:1231	oboInOwl:hasDbXref	UMLS:C1319466	Unspecified	Barber-Say syndrome
ordo:2561	oboInOwl:hasDbXref	UMLS:C1860167	Unspecified	Pyramidal molars-abnormal upper lip syndrome
ordo:1237	oboInOwl:hasDbXref	UMLS:C1859526	Unspecified	Beemer-Ertbruggen syndrome
ordo:2563	oboInOwl:hasDbXref	UMLS:C1834759	Unspecified	MOMO syndrome
ordo:122	oboInOwl:hasDbXref	UMLS:C0346010	Unspecified	Birt-Hogg-Dubé syndrome
ordo:1234	oboInOwl:hasDbXref	UMLS:C1849718	Unspecified	Bartsocas-Papas syndrome
ordo:2564	oboInOwl:hasDbXref	UMLS:C1861233	Unspecified	Tetramelic monodactyly
ordo:2569	oboInOwl:hasDbXref	UMLS:C0265349	Unspecified	Moore-Federman syndrome
ordo:113	oboInOwl:hasDbXref	UMLS:C0346104	Unspecified	Bazex-Dupré-Christol syndrome
ordo:112	oboInOwl:hasDbXref	UMLS:C0004775	Unspecified	Bartter syndrome
ordo:2570	oboInOwl:hasDbXref	UMLS:C1844016	Unspecified	Lethal intrauterine growth restriction-cortical malformation-congenital contractures syndrome
ordo:115	oboInOwl:hasDbXref	UMLS:C0220668	Unspecified	Congenital contractural arachnodactyly
ordo:199306	oboInOwl:hasDbXref	UMLS:C0158646	Unspecified	Cleft lip/palate
ordo:114	oboInOwl:hasDbXref	UMLS:C1862381	Unspecified	Auriculoosteodysplasia
ordo:2571	oboInOwl:hasDbXref	UMLS:C1848144	Unspecified	X-linked immunoneurologic disorder
ordo:1240	oboInOwl:hasDbXref	UMLS:C1855243	Unspecified	Metaphyseal acroscyphodysplasia
ordo:117	oboInOwl:hasDbXref	UMLS:C0004943	Unspecified	Behçet disease
ordo:116	oboInOwl:hasDbXref	UMLS:C0004903	Unspecified	Beckwith-Wiedemann syndrome
ordo:119	oboInOwl:hasDbXref	UMLS:C1858593	Unspecified	Beta-sarcoglycan-related  limb-girdle muscular dystrophy R4
ordo:119	oboInOwl:hasDbXref	UMLS:C2930900	Unspecified	Beta-sarcoglycan-related  limb-girdle muscular dystrophy R4
ordo:118	oboInOwl:hasDbXref	UMLS:C2931893	Unspecified	Beta-mannosidosis
ordo:118	oboInOwl:hasDbXref	UMLS:C0342849	Unspecified	Beta-mannosidosis
ordo:2576	oboInOwl:hasDbXref	UMLS:C0524582	Unspecified	Mulibrey nanism
ordo:2576	oboInOwl:hasDbXref	UMLS:C2931895	Unspecified	Mulibrey nanism
ordo:1243	oboInOwl:hasDbXref	UMLS:C2745945	Unspecified	Best vitelliform macular dystrophy
ordo:1243	oboInOwl:hasDbXref	UMLS:C0339510	Unspecified	Best vitelliform macular dystrophy
ordo:2578	oboInOwl:hasDbXref	UMLS:C1832817	Unspecified	Mayer-Rokitansky-Küster-Hauser syndrome type 2
ordo:2579	oboInOwl:hasDbXref	UMLS:C0342281	Unspecified	Muscular atrophy-ataxia-retinitis pigmentosa-diabetes mellitus syndrome
