record_id	subject_id	object_id	predicate_id	mapping_justification	author_id	confidence	comment
	edas:Paper	ekaw:Paper	skos:exactMatch	semapv:LexicalMatching		1.0	Exact lexical match
	edas:Document	ekaw:Document	skos:exactMatch	semapv:LexicalMatching		1.0	Exact lexical match
	edas:Conference	ekaw:Conference	skos:exactMatch	semapv:LexicalMatching		1.0	Exact lexical match
	edas:Person	ekaw:Person	skos:exactMatch	semapv:LexicalMatching		1.0	Exact lexical match
	edas:Review	ekaw:Review	skos:exactMatch	semapv:LexicalMatching		1.0	Exact lexical match
	edas:AcceptedPaper	ekaw:Accepted_Paper	skos:exactMatch	semapv:LexicalMatching		0.95	Lexical match with underscore variation
	edas:RejectedPaper	ekaw:Rejected_Paper	skos:exactMatch	semapv:LexicalMatching		0.95	Lexical match with underscore variation
	edas:Presenter	ekaw:Presenter	skos:exactMatch	semapv:LexicalMatching		1.0	Exact lexical match
	edas:Organization	ekaw:Organisation	skos:exactMatch	semapv:LexicalMatching		0.98	Lexical match handling US/UK spelling
	edas:Workshop	ekaw:Workshop	skos:exactMatch	semapv:LexicalMatching		1.0	Exact lexical match
	edas:SessionChair	ekaw:Session_Chair	skos:exactMatch	semapv:LexicalMatching		0.95	Lexical match with underscore variation
	edas:TPCMember	ekaw:PC_Member	skos:closeMatch	semapv:SemanticSimilarityThresholdMatching		0.8	High semantic overlap between Program Committee and TPC members
	edas:SocialEvent	ekaw:Social_Event	skos:exactMatch	semapv:LexicalMatching		0.95	Lexical match with underscore variation
	edas:ConferenceSession	ekaw:Conference_Session	skos:exactMatch	semapv:LexicalMatching		0.95	Lexical match with underscore variation
	edas:Place	ekaw:Location	skos:exactMatch	semapv:BackgroundKnowledgeBasedMatching		0.9	Synonymous terms identified through background knowledge
	edas:Author	ekaw:Paper_Author	skos:exactMatch	semapv:BackgroundKnowledgeBasedMatching		0.85	Author is conceptually equivalent to Paper_Author in this domain
	edas:Topic	ekaw:Research_Topic	skos:exactMatch	semapv:BackgroundKnowledgeBasedMatching		0.85	Topic matches Research_Topic functionally in conference contexts
	edas:AcademicEvent	ekaw:Scientific_Event	skos:closeMatch	semapv:BackgroundKnowledgeBasedMatching		0.85	Academic Event and Scientific Event represent highly similar concepts
